exposure,time,real_time,Pin_mean,Pin_sd
0,0,-8,0,0
0,12,-7,0,0
0,24,-6,0,0
0,36,-5,0,0
0,48,-4,0,0
0,60,-3,0,0
0,72,-2,0,0
0,84,-1,0,0
0,96,0,0,0
0,108,1,0,0
0,120,2,0,0
0,132,3,0,0
0,144,4,0,0
0,156,5,0,0
0,168,6,0,0
0,180,7,0,0
0,192,8,0,0
0,204,9,0,0
0,216,10,0,0
0,228,11,0,0
0,240,12,0,0
0,252,13,0,0
0,264,14,0,0
0,276,15,0,0
0,288,16,0,0
0,300,17,0,0
0,312,18,0,0
0,324,19,0,0
0,336,20,0,0
0,348,21,0,0
0,360,22,0,0
0,372,23,0,0
0,384,24,0,0
0,396,25,0,0
0,408,26,0,0
0,420,27,0,0
0,432,28,0,0
0,444,29,0,0
0,456,30,0,0
0,468,31,0,0
0,480,32,0,0
0,492,33,0,0
0,504,34,0,0
0,516,35,0,0
0,528,36,0,0
0,540,37,0,0
0,552,38,0,0
0,564,39,0,0
0,576,40,0,0
0,588,41,0,0
0,600,42,0,0
0,612,43,0,0
0,624,44,0,0
0,636,45,0,0
0,648,46,0,0
0,660,47,0,0
0,672,48,0,0
0,684,49,0,0
0,696,50,0,0
0,708,51,0,0
0,720,52,0,0
0,732,53,0,0
0,744,54,0,0
0,756,55,0,0
0,768,56,0,0
0,780,57,0,0
0,792,58,0,0
0,804,59,0,0
0,816,60,0,0
0,828,61,0,0
0,840,62,0,0
0,852,63,0,0
0,864,64,0,0
0,876,65,0,0
0,888,66,0,0
0,900,67,0,0
0,912,68,0,0
0,924,69,0,0
0,936,70,0,0
0,948,71,0,0
0,960,72,0,0
0,972,73,0,0
0,984,74,0,0
0,996,75,0,0
0,1008,76,0,0
0,1020,77,0,0
0,1032,78,0,0
0,1044,79,0,0
0,1056,80,0,0
0,1068,81,0,0
0,1080,82,0,0
0,1092,83,0,0
0,1104,84,0,0
0,1116,85,0,0
0,1128,86,0,0
0,1140,87,0,0
0,1152,88,0,0
0,1164,89,0,0
0,1176,90,0,0
0,1188,91,0,0
0,1200,92,0,0
0,1212,93,0,0
0,1224,94,0,0
0,1236,95,0,0
0,1248,96,0,0
0,1260,97,0,0
0,1272,98,0,0
0,1284,99,0,0
0,1296,100,0,0
0,1308,101,0,0
0,1320,102,0,0
0,1332,103,0,0
0,1344,104,0,0
0,1356,105,0,0
0,1368,106,0,0
0,1380,107,0,0
0,1392,108,0,0
0,1404,109,0,0
0,1416,110,0,0
0,1428,111,0,0
0,1440,112,0,0
0,1452,113,0,0
0,1464,114,0,0
0,1476,115,0,0
0,1488,116,0,0
0,1500,117,0,0
0,1512,118,0,0
0,1524,119,0,0
0,1536,120,0,0
0,1548,121,0,0
0,1560,122,0,0
0,1572,123,0,0
0,1584,124,0,0
0,1596,125,0,0
0,1608,126,0,0
0,1620,127,0,0
0,1632,128,0,0
0,1644,129,0,0
0,1656,130,0,0
0,1668,131,0,0
0,1680,132,0,0
0,1692,133,0,0
0,1704,134,0,0
0,1716,135,0,0
0,1728,136,0,0
0,1740,137,0,0
0,1752,138,0,0
0,1764,139,0,0
0,1776,140,0,0
0,1788,141,0,0
0,1800,142,0,0
0,1812,143,0,0
0,1824,144,0,0
0,1836,145,0,0
0,1848,146,0,0
0,1860,147,0,0
0,1872,148,0,0
0,1884,149,0,0
0,1896,150,0,0
0,1908,151,0,0
0,1920,152,0,0
0,1932,153,0,0
0,1944,154,0,0
0,1956,155,0,0
0,1968,156,0,0
0,1980,157,0,0
0,1992,158,0,0
0,2004,159,0,0
0,2016,160,0,0
0,2028,161,0,0
0,2040,162,0,0
0,2052,163,0,0
0,2064,164,0,0
0,2076,165,0,0
0,2088,166,0,0
0,2100,167,0,0
0,2112,168,0,0
250,0,-8,0,0
250,12,-7,0,0
250,24,-6,0,0
250,36,-5,0,0
250,48,-4,0,0
250,60,-3,0,0
250,72,-2,0,0
250,84,-1,0,0
250,96,0,9.778810124162334,2.8982164038978765e-6
250,108,1,95.16730175540833,0.00256363479412177
250,120,2,141.64455787486668,0.005871035489591481
250,132,3,164.73523865198334,0.007973267867870113
250,144,4,171.96798160933332,0.009247925329685477
250,156,5,169.1187906998,0.009305113949565546
250,168,6,160.31930284458332,0.009043398428435195
250,180,7,148.32578362446668,0.008306441414254965
250,192,8,134.91560582936665,0.00764291678269954
250,204,9,121.21074563378333,0.006767618267968396
250,216,10,107.8918031509,0.005944069184689096
250,228,11,95.35001198843167,0.005462000116444307
250,240,12,83.787232977955,0.004914735939904629
250,252,13,73.284730125405,0.0042056846075943215
250,264,14,63.84801729095,0.00361620095632439
250,276,15,55.437723891588334,0.0032317668079724503
250,288,16,47.989040469016665,0.0029487505589292184
250,300,17,41.424683733818334,0.0026997418236167723
250,312,18,35.66300939407,0.0024349315337674703
250,324,19,30.622897055048334,0.002243182161189472
250,336,20,26.227016015625,0.002071840228990394
250,348,21,22.403381271315,0.0019011422098629616
250,360,22,19.085948072765,0.0016956687098197958
250,372,23,16.214830054666667,0.0015198911844057227
250,384,24,13.73626792023,0.0013393454050694492
250,396,25,11.60208167731,0.0011832912963342386
250,408,26,9.769414794031833,0.0010352032625638447
250,420,27,8.200135602460666,9.15616828408733e-4
250,432,28,6.8604172926875,7.898857138811198e-4
250,444,29,5.7203310529815,6.848044316161356e-4
250,456,30,4.753392396144667,5.958370342308042e-4
250,468,31,3.9361963826321666,5.155888557617337e-4
250,480,32,3.2480896330726665,4.4536927512017196e-4
250,492,33,2.6708637575021665,3.803539360677803e-4
250,504,34,2.1885428711818333,3.215346665212852e-4
250,516,35,1.7871095118168334,2.6899003548397577e-4
250,528,36,1.4543268831536666,2.2567645457247755e-4
250,540,37,1.1795577110166666,1.8626769466371096e-4
250,552,38,0.9535879023656667,1.534304916672513e-4
250,564,39,0.76847589616635,1.2758035424034387e-4
250,576,40,0.6174172307298667,1.0622990306918004e-4
250,588,41,0.4946045886634667,8.899443170820161e-5
250,600,42,0.3951169060789167,7.280471082868677e-5
250,612,43,0.31480394986076665,5.866912542308952e-5
250,624,44,0.25018570923681666,4.7479340222869704e-5
250,636,45,0.1983591269378,3.8330845737371e-5
250,648,46,0.15691696448498332,3.126545353056621e-5
250,660,47,0.12387254667313333,2.557675795320397e-5
250,672,48,0.09759442072682,2.077130172725347e-5
250,684,49,0.07674950442634333,1.6572151654675e-5
250,696,50,0.0602531762114,1.2940896420175109e-5
250,708,51,0.04722697500222333,1.0163801360721427e-5
250,720,52,0.03696181055734,7.934721832652547e-6
250,732,53,0.028887924250296668,6.237295250670584e-6
250,744,54,0.022548841135931665,4.860875450082871e-6
250,756,55,0.017579938040105,3.754428282208166e-6
250,768,56,0.013690969790553334,2.8693828809526886e-6
250,780,57,0.0106515139389555,2.1813234253691085e-6
250,792,58,0.008279062956105667,1.645728689894182e-6
250,804,59,0.0064294842567326664,1.238760055143542e-6
250,816,60,0.004989133617326667,9.23897537504538e-7
250,828,61,0.0038686054115275002,7.05167724767175e-7
250,840,62,0.0029977029649746667,5.417158073177768e-7
250,852,63,0.0023214087520061666,4.1858081046191815e-7
250,864,64,0.0017966535825776667,3.2373794437501565e-7
250,876,65,0.0013897795575326666,2.502524033813792e-7
250,888,66,0.0010745205234782168,1.918547013420008e-7
250,900,67,8.304017374070833e-4,1.4614263466909135e-7
250,912,68,6.414776196975333e-4,1.1213518339973292e-7
250,924,69,4.953459001256333e-4,8.626194299256872e-8
250,936,70,0.00038236989850861666,6.668487205985185e-8
250,948,71,2.9506524786578335e-4,5.187853542414433e-8
250,960,72,2.276264661554e-4,4.0432316364120355e-8
250,972,73,1.7555357825148335e-4,3.1251168966129956e-8
250,984,74,1.3535901568748334e-4,2.41766614306793e-8
250,996,75,1.0434322905724e-4,1.8551927543319738e-8
250,1008,76,8.041703429650333e-5,1.4213106799948247e-8
250,1020,77,6.196501692989167e-5,1.0865789916186092e-8
250,1032,78,4.773832995278667e-5,8.363720727812186e-9
250,1044,79,3.6771948777126665e-5,6.4772939616738834e-9
250,1056,80,2.8320422564098333e-5,4.916942780406375e-9
250,1068,81,2.1808234758145e-5,3.774972628403872e-9
250,1080,82,1.6791333321723334e-5,2.903278953986887e-9
250,1092,83,1.2927043034504e-5,2.2291889059984312e-9
250,1104,84,9.950983977205167e-6,1.7005543994953247e-9
250,1116,85,7.659287472398166e-6,1.3130412276301509e-9
250,1128,86,5.894805029217833e-6,1.0157580892946066e-9
250,1140,87,4.536427264762e-6,7.814203612578495e-10
250,1152,88,3.4907934175471666e-6,6.132879219372605e-10
250,1164,89,2.685987080590333e-6,4.769348683865799e-10
250,1176,90,2.0665892002436664e-6,3.7004205248176443e-10
250,1188,91,1.5899292163233333e-6,2.823681077625791e-10
250,1200,92,1.2231437656716667e-6,2.161562256982755e-10
250,1212,93,9.409263490572167e-7,1.6564129304199973e-10
250,1224,94,7.237926648010666e-7,1.2737011847163907e-10
250,1236,95,5.567411774565667e-7,9.863734433943908e-11
250,1248,96,4.2822821614926664e-7,7.681920359071663e-11
250,1260,97,3.293678054525e-7,5.927660378461412e-11
250,1272,98,2.5332138045183334e-7,4.5789269927370585e-11
250,1284,99,1.9482726936716665e-7,3.543187201781952e-11
250,1296,100,1.498354352373e-7,2.7230211610974075e-11
250,1308,101,1.1523095300273e-7,2.0976833803148643e-11
250,1320,102,8.861623508467334e-8,1.61617810074883e-11
250,1332,103,6.814707693751333e-8,1.2417891891218071e-11
250,1344,104,5.240505749389e-8,9.592271589019217e-12
250,1356,105,4.029878153279167e-8,7.325700355851151e-12
