Time,MotherID,Daughter1ID,Daughter2ID,r,run,step,Time_h
230,359,766,767,0.01,1,1,11.166666666666666
268,257,781,782,0.01,1,2,14.333333333333334
280,243,789,790,0.01,1,3,15.333333333333334
292,303,798,799,0.01,1,4,16.333333333333332
306,276,808,809,0.01,1,5,17.5
338,236,824,825,0.01,1,6,20.166666666666668
339,241,826,827,0.01,1,7,20.25
347,357,833,834,0.01,1,8,20.916666666666668
360,536,841,842,0.01,1,9,22
391,45,856,857,0.01,1,10,24.583333333333332
398,441,859,860,0.01,1,11,25.166666666666668
406,532,865,866,0.01,1,12,25.833333333333332
412,385,869,870,0.01,1,13,26.333333333333332
441,163,884,885,0.01,1,14,28.75
444,265,886,887,0.01,1,15,29
468,450,900,901,0.01,1,16,31
473,364,904,905,0.01,1,17,31.416666666666668
482,14,906,907,0.01,1,18,32.166666666666664
493,374,908,909,0.01,1,19,33.083333333333336
499,467,910,911,0.01,1,20,33.583333333333336
504,834,912,913,0.01,1,21,34
518,552,914,915,0.01,1,22,35.166666666666664
524,199,916,917,0.01,1,23,35.666666666666664
535,345,918,919,0.01,1,24,36.583333333333336
546,600,920,921,0.01,1,25,37.5
558,124,922,923,0.01,1,26,38.5
563,344,924,925,0.01,1,27,38.916666666666664
576,126,926,927,0.01,1,28,40
587,900,928,929,0.01,1,29,40.916666666666664
601,929,930,931,0.01,1,30,42.083333333333336
609,375,932,933,0.01,1,31,42.75
673,870,934,935,0.01,1,32,48.083333333333336
681,908,936,937,0.01,1,33,48.75
682,918,938,939,0.01,1,34,48.833333333333336
738,370,940,941,0.01,1,35,53.5
796,924,942,943,0.01,1,36,58.333333333333336
804,52,944,945,0.01,1,37,59
811,942,946,947,0.01,1,38,59.583333333333336
847,23,948,949,0.01,1,39,62.583333333333336
853,547,950,951,0.01,1,40,63.083333333333336
894,36,952,953,0.01,1,41,66.5
943,237,954,955,0.01,1,42,70.58333333333333
968,319,956,957,0.01,1,43,72.66666666666667
968,593,958,959,0.01,1,44,72.66666666666667
1119,537,960,961,0.01,1,45,85.25
1123,598,962,963,0.01,1,46,85.58333333333333
1125,302,964,965,0.01,1,47,85.75
1159,953,966,967,0.01,1,48,88.58333333333333
1182,966,968,969,0.01,1,49,90.5
1221,956,970,971,0.01,1,50,93.75
1288,965,972,973,0.01,1,51,99.33333333333333
1334,969,974,975,0.01,1,52,103.16666666666667
1390,542,976,977,0.01,1,53,107.83333333333333
1409,291,978,979,0.01,1,54,109.41666666666667
235,52,772,773,0.01,10,1,11.583333333333334
277,136,793,794,0.01,10,2,15.083333333333334
296,570,810,811,0.01,10,3,16.666666666666668
310,270,818,819,0.01,10,4,17.833333333333332
320,529,827,828,0.01,10,5,18.666666666666668
338,397,834,835,0.01,10,6,20.166666666666668
367,167,844,845,0.01,10,7,22.583333333333332
378,583,853,854,0.01,10,8,23.5
396,323,866,867,0.01,10,9,25
402,377,871,872,0.01,10,10,25.5
431,283,879,880,0.01,10,11,27.916666666666668
439,558,881,882,0.01,10,12,28.583333333333332
440,335,883,884,0.01,10,13,28.666666666666668
441,535,885,886,0.01,10,14,28.75
442,291,887,888,0.01,10,15,28.833333333333332
478,168,889,890,0.01,10,16,31.833333333333332
502,872,891,892,0.01,10,17,33.833333333333336
517,389,893,894,0.01,10,18,35.083333333333336
533,239,895,896,0.01,10,19,36.416666666666664
537,33,897,898,0.01,10,20,36.75
560,589,899,900,0.01,10,21,38.666666666666664
562,881,901,902,0.01,10,22,38.833333333333336
594,215,903,904,0.01,10,23,41.5
629,113,905,906,0.01,10,24,44.416666666666664
633,553,907,908,0.01,10,25,44.75
660,80,909,910,0.01,10,26,47
667,580,911,912,0.01,10,27,47.583333333333336
685,897,913,914,0.01,10,28,49.083333333333336
699,552,915,916,0.01,10,29,50.25
735,476,917,918,0.01,10,30,53.25
749,599,919,920,0.01,10,31,54.416666666666664
800,185,921,922,0.01,10,32,58.666666666666664
802,520,923,924,0.01,10,33,58.833333333333336
825,147,925,926,0.01,10,34,60.75
917,349,927,928,0.01,10,35,68.41666666666667
919,44,929,930,0.01,10,36,68.58333333333333
957,921,931,932,0.01,10,37,71.75
1065,523,933,934,0.01,10,38,80.75
1086,531,935,936,0.01,10,39,82.5
1122,233,937,938,0.01,10,40,85.5
1132,929,939,940,0.01,10,41,86.33333333333333
1167,936,941,942,0.01,10,42,89.25
1236,930,943,944,0.01,10,43,95
221,179,769,770,0.01,2,1,10.416666666666666
221,400,771,772,0.01,2,2,10.416666666666666
239,208,783,784,0.01,2,3,11.916666666666666
246,10,789,790,0.01,2,4,12.5
277,548,807,808,0.01,2,5,15.083333333333334
286,454,816,817,0.01,2,6,15.833333333333334
287,438,818,819,0.01,2,7,15.916666666666666
288,389,821,822,0.01,2,8,16
288,578,823,824,0.01,2,9,16
295,296,829,830,0.01,2,10,16.583333333333332
329,830,845,846,0.01,2,11,19.416666666666668
335,101,847,848,0.01,2,12,19.916666666666668
350,543,849,850,0.01,2,13,21.166666666666668
354,25,854,855,0.01,2,14,21.5
384,527,857,858,0.01,2,15,24
395,532,859,860,0.01,2,16,24.916666666666668
400,523,863,864,0.01,2,17,25.333333333333332
402,45,866,867,0.01,2,18,25.5
417,848,869,870,0.01,2,19,26.75
425,99,871,872,0.01,2,20,27.416666666666668
441,871,873,874,0.01,2,21,28.75
483,146,875,876,0.01,2,22,32.25
536,287,877,878,0.01,2,23,36.666666666666664
538,357,879,880,0.01,2,24,36.833333333333336
568,46,881,882,0.01,2,25,39.333333333333336
590,849,883,884,0.01,2,26,41.166666666666664
660,847,885,886,0.01,2,27,47
662,876,887,888,0.01,2,28,47.166666666666664
669,483,889,890,0.01,2,29,47.75
829,882,891,892,0.01,2,30,61.083333333333336
830,891,893,894,0.01,2,31,61.166666666666664
833,866,895,896,0.01,2,32,61.416666666666664
881,888,897,898,0.01,2,33,65.41666666666667
964,889,899,900,0.01,2,34,72.33333333333333
972,178,901,902,0.01,2,35,73
984,356,903,904,0.01,2,36,74
988,534,905,906,0.01,2,37,74.33333333333333
1012,509,907,908,0.01,2,38,76.33333333333333
1112,401,909,910,0.01,2,39,84.66666666666667
1113,41,911,912,0.01,2,40,84.75
1130,347,913,914,0.01,2,41,86.16666666666667
1172,595,915,916,0.01,2,42,89.66666666666667
1184,450,917,918,0.01,2,43,90.66666666666667
1301,910,919,920,0.01,2,44,100.41666666666667
1310,913,921,922,0.01,2,45,101.16666666666667
263,307,785,786,0.01,3,1,13.916666666666666
264,785,788,789,0.01,3,2,14
271,137,795,796,0.01,3,3,14.583333333333334
289,286,807,808,0.01,3,4,16.083333333333332
304,529,815,816,0.01,3,5,17.333333333333332
308,497,819,820,0.01,3,6,17.666666666666668
315,526,824,825,0.01,3,7,18.25
321,92,828,829,0.01,3,8,18.75
321,369,830,831,0.01,3,9,18.75
335,314,839,840,0.01,3,10,19.916666666666668
347,406,846,847,0.01,3,11,20.916666666666668
354,563,851,852,0.01,3,12,21.5
358,847,853,854,0.01,3,13,21.833333333333332
360,17,855,856,0.01,3,14,22
373,273,860,861,0.01,3,15,23.083333333333332
388,419,873,874,0.01,3,16,24.333333333333332
401,530,882,883,0.01,3,17,25.416666666666668
406,882,887,888,0.01,3,18,25.833333333333332
417,874,893,894,0.01,3,19,26.75
418,262,895,896,0.01,3,20,26.833333333333332
419,894,898,899,0.01,3,21,26.916666666666668
421,546,901,902,0.01,3,22,27.083333333333332
429,111,905,906,0.01,3,23,27.75
433,349,909,910,0.01,3,24,28.083333333333332
442,241,911,912,0.01,3,25,28.833333333333332
452,549,913,914,0.01,3,26,29.666666666666668
470,887,915,916,0.01,3,27,31.166666666666668
471,176,917,918,0.01,3,28,31.25
472,194,919,920,0.01,3,29,31.333333333333332
479,127,921,922,0.01,3,30,31.916666666666668
479,187,923,924,0.01,3,31,31.916666666666668
485,917,925,926,0.01,3,32,32.416666666666664
493,332,927,928,0.01,3,33,33.083333333333336
493,888,929,930,0.01,3,34,33.083333333333336
501,354,931,932,0.01,3,35,33.75
504,607,933,934,0.01,3,36,34
511,854,935,936,0.01,3,37,34.583333333333336
517,895,937,938,0.01,3,38,35.083333333333336
525,531,939,940,0.01,3,39,35.75
541,150,941,942,0.01,3,40,37.083333333333336
543,159,943,944,0.01,3,41,37.25
547,830,945,946,0.01,3,42,37.583333333333336
549,933,947,948,0.01,3,43,37.75
553,893,949,950,0.01,3,44,38.083333333333336
561,929,951,952,0.01,3,45,38.75
565,317,953,954,0.01,3,46,39.083333333333336
577,932,955,956,0.01,3,47,40.083333333333336
587,32,957,958,0.01,3,48,40.916666666666664
598,942,959,960,0.01,3,49,41.833333333333336
630,852,961,962,0.01,3,50,44.5
664,906,963,964,0.01,3,51,47.333333333333336
797,853,965,966,0.01,3,52,58.416666666666664
842,962,967,968,0.01,3,53,62.166666666666664
943,966,969,970,0.01,3,54,70.58333333333333
981,448,971,972,0.01,3,55,73.75
1025,898,973,974,0.01,3,56,77.41666666666667
1033,461,975,976,0.01,3,57,78.08333333333333
1229,136,977,978,0.01,3,58,94.41666666666667
1272,219,979,980,0.01,3,59,98
1398,978,981,982,0.01,3,60,108.5
244,585,783,784,0.01,4,1,12.333333333333334
247,187,787,788,0.01,4,2,12.583333333333334
247,355,789,790,0.01,4,3,12.583333333333334
253,389,795,796,0.01,4,4,13.083333333333334
266,428,803,804,0.01,4,5,14.166666666666666
324,223,830,831,0.01,4,6,19
325,282,832,833,0.01,4,7,19.083333333333332
327,405,835,836,0.01,4,8,19.25
328,77,838,839,0.01,4,9,19.333333333333332
328,783,840,841,0.01,4,10,19.333333333333332
331,469,843,844,0.01,4,11,19.583333333333332
332,303,845,846,0.01,4,12,19.666666666666668
341,838,847,848,0.01,4,13,20.416666666666668
344,333,851,852,0.01,4,14,20.666666666666668
348,144,854,855,0.01,4,15,21
357,529,862,863,0.01,4,16,21.75
361,862,866,867,0.01,4,17,22.083333333333332
384,147,874,875,0.01,4,18,24
