time,necrotic_total,hepatocytes_total,kupffer_total,macrophages_total,senescent_total,real_time,r,run
0,0,600,150,0,0,-8,0.01,1
3,0,600,150,0,0,-7.75,0.01,1
6,0,600,150,0,0,-7.5,0.01,1
9,0,600,150,0,0,-7.25,0.01,1
12,0,600,150,0,0,-7,0.01,1
15,0,600,150,0,0,-6.75,0.01,1
18,0,600,150,0,0,-6.5,0.01,1
21,0,600,150,0,0,-6.25,0.01,1
24,0,600,150,0,0,-6,0.01,1
27,0,600,150,0,0,-5.75,0.01,1
30,0,600,150,0,0,-5.5,0.01,1
33,0,600,150,0,0,-5.25,0.01,1
36,0,600,150,0,0,-5,0.01,1
39,0,600,150,0,0,-4.75,0.01,1
42,0,600,150,0,0,-4.5,0.01,1
45,0,600,150,0,0,-4.25,0.01,1
48,0,600,150,0,0,-4,0.01,1
51,0,600,150,0,0,-3.75,0.01,1
54,0,600,150,0,0,-3.5,0.01,1
57,0,600,150,0,0,-3.25,0.01,1
60,0,600,150,0,0,-3,0.01,1
63,0,600,150,0,0,-2.75,0.01,1
66,0,600,150,0,0,-2.5,0.01,1
69,0,600,150,0,0,-2.25,0.01,1
72,0,600,150,0,0,-2,0.01,1
75,0,600,150,0,0,-1.75,0.01,1
78,0,600,150,0,0,-1.5,0.01,1
81,0,600,150,0,0,-1.25,0.01,1
84,0,600,150,0,0,-1,0.01,1
87,0,600,150,0,0,-0.75,0.01,1
90,0,600,150,0,0,-0.5,0.01,1
93,0,600,150,0,0,-0.25,0.01,1
96,0,600,150,0,0,0,0.01,1
99,0,600,150,0,0,0.25,0.01,1
102,0,600,150,0,0,0.5,0.01,1
105,0,600,150,0,0,0.75,0.01,1
108,0,600,150,0,0,1,0.01,1
111,0,600,150,0,0,1.25,0.01,1
114,0,600,150,0,0,1.5,0.01,1
117,0,600,150,0,0,1.75,0.01,1
120,0,600,150,0,0,2,0.01,1
123,0,600,150,0,0,2.25,0.01,1
126,0,600,150,0,0,2.5,0.01,1
129,0,600,150,0,0,2.75,0.01,1
132,0,600,150,0,0,3,0.01,1
135,0,600,150,0,0,3.25,0.01,1
138,0,600,150,0,0,3.5,0.01,1
141,0,600,150,0,0,3.75,0.01,1
144,0,600,150,0,0,4,0.01,1
147,0,600,150,0,0,4.25,0.01,1
150,0,600,150,0,0,4.5,0.01,1
153,0,600,150,0,0,4.75,0.01,1
156,0,600,150,0,0,5,0.01,1
159,0,600,150,0,0,5.25,0.01,1
162,0,600,150,0,0,5.5,0.01,1
165,0,600,150,0,0,5.75,0.01,1
168,0,600,150,0,0,6,0.01,1
171,0,600,150,0,0,6.25,0.01,1
174,0,600,150,0,0,6.5,0.01,1
177,0,600,150,0,0,6.75,0.01,1
180,0,600,150,0,0,7,0.01,1
183,0,600,150,0,0,7.25,0.01,1
186,0,600,150,0,0,7.5,0.01,1
189,17,583,150,0,0,7.75,0.01,1
192,34,566,150,0,0,8,0.01,1
195,39,561,150,0,0,8.25,0.01,1
198,46,554,150,0,0,8.5,0.01,1
201,52,548,150,0,0,8.75,0.01,1
204,63,537,150,1,0,9,0.01,1
207,65,535,150,1,0,9.25,0.01,1
210,68,532,150,1,0,9.5,0.01,1
213,74,526,150,1,0,9.75,0.01,1
216,81,519,150,4,0,10,0.01,1
219,89,511,150,6,0,10.25,0.01,1
222,91,509,150,6,0,10.5,0.01,1
225,98,502,150,7,0,10.75,0.01,1
228,101,499,150,7,0,11,0.01,1
231,104,497,150,8,0,11.25,0.01,1
234,106,495,150,10,0,11.5,0.01,1
237,109,492,150,11,0,11.75,0.01,1
240,114,487,150,12,0,12,0.01,1
243,118,483,150,13,0,12.25,0.01,1
246,119,482,150,13,0,12.5,0.01,1
249,122,479,150,14,0,12.75,0.01,1
252,127,474,150,16,0,13,0.01,1
255,129,472,150,17,0,13.25,0.01,1
258,131,470,150,20,0,13.5,0.01,1
261,135,466,150,20,0,13.75,0.01,1
264,136,465,150,20,0,14,0.01,1
267,137,464,150,21,0,14.25,0.01,1
270,137,465,150,23,1,14.5,0.01,1
273,138,464,150,25,3,14.75,0.01,1
276,140,462,150,26,2,15,0.01,1
279,140,462,150,27,3,15.25,0.01,1
282,140,463,150,28,5,15.5,0.01,1
285,140,463,150,31,6,15.75,0.01,1
288,141,462,150,33,6,16,0.01,1
291,141,462,150,34,8,16.25,0.01,1
294,141,463,150,36,9,16.5,0.01,1
297,141,463,150,38,11,16.75,0.01,1
300,141,463,150,41,16,17,0.01,1
303,141,463,150,42,17,17.25,0.01,1
306,141,463,150,42,19,17.5,0.01,1
309,141,464,150,44,22,17.75,0.01,1
312,141,464,150,45,23,18,0.01,1
315,141,464,150,46,24,18.25,0.01,1
318,141,464,150,47,24,18.5,0.01,1
321,141,464,150,49,26,18.75,0.01,1
324,141,464,150,49,27,19,0.01,1
327,141,464,150,52,30,19.25,0.01,1
330,141,464,150,54,31,19.5,0.01,1
333,141,464,150,55,31,19.75,0.01,1
336,141,464,150,56,31,20,0.01,1
339,141,465,150,57,31,20.25,0.01,1
342,141,466,150,59,33,20.5,0.01,1
345,141,466,150,60,33,20.75,0.01,1
348,141,467,150,61,33,21,0.01,1
351,141,467,150,62,33,21.25,0.01,1
354,141,467,150,64,33,21.5,0.01,1
357,141,467,150,65,35,21.75,0.01,1
360,141,467,150,68,36,22,0.01,1
363,141,468,150,68,36,22.25,0.01,1
366,141,468,150,70,37,22.5,0.01,1
369,141,468,150,72,37,22.75,0.01,1
372,141,468,150,74,37,23,0.01,1
375,141,468,150,76,38,23.25,0.01,1
378,140,468,150,77,38,23.5,0.01,1
381,140,468,150,79,38,23.75,0.01,1
384,137,468,150,80,38,24,0.01,1
387,137,468,150,80,39,24.25,0.01,1
390,135,468,150,80,39,24.5,0.01,1
393,135,469,150,80,39,24.75,0.01,1
396,133,469,150,81,39,25,0.01,1
399,132,470,150,82,41,25.25,0.01,1
402,129,470,150,84,42,25.5,0.01,1
405,129,470,150,85,45,25.75,0.01,1
408,129,471,150,85,47,26,0.01,1
411,129,471,150,87,48,26.25,0.01,1
414,128,472,150,88,48,26.5,0.01,1
417,128,472,150,90,49,26.75,0.01,1
420,128,472,150,93,49,27,0.01,1
423,126,472,150,94,49,27.25,0.01,1
426,126,472,150,96,49,27.5,0.01,1
429,126,472,150,98,49,27.75,0.01,1
432,125,472,150,100,49,28,0.01,1
435,124,472,150,100,50,28.25,0.01,1
438,124,472,150,100,50,28.5,0.01,1
441,123,472,150,100,50,28.75,0.01,1
444,121,473,150,100,50,29,0.01,1
447,120,474,150,101,50,29.25,0.01,1
450,120,474,150,102,51,29.5,0.01,1
453,120,474,150,103,51,29.75,0.01,1
456,120,474,150,105,51,30,0.01,1
459,118,474,150,107,51,30.25,0.01,1
462,117,474,150,109,52,30.5,0.01,1
465,117,474,150,110,53,30.75,0.01,1
468,116,474,150,113,53,31,0.01,1
471,115,475,150,114,54,31.25,0.01,1
474,114,476,150,114,55,31.5,0.01,1
477,114,476,150,114,55,31.75,0.01,1
480,114,476,150,114,56,32,0.01,1
483,113,477,150,114,56,32.25,0.01,1
486,113,477,150,114,56,32.5,0.01,1
489,113,477,150,114,57,32.75,0.01,1
492,113,477,150,114,57,33,0.01,1
495,112,478,150,114,57,33.25,0.01,1
498,110,478,150,114,57,33.5,0.01,1
501,109,479,150,114,57,33.75,0.01,1
504,108,479,150,114,57,34,0.01,1
507,107,480,150,114,57,34.25,0.01,1
510,106,480,150,114,57,34.5,0.01,1
513,106,480,150,114,57,34.75,0.01,1
516,105,480,150,114,57,35,0.01,1
519,105,481,150,114,57,35.25,0.01,1
522,105,481,150,114,57,35.5,0.01,1
525,105,482,150,114,57,35.75,0.01,1
528,102,482,150,114,57,36,0.01,1
531,102,482,150,114,57,36.25,0.01,1
534,99,482,150,114,57,36.5,0.01,1
537,96,483,150,114,57,36.75,0.01,1
540,96,483,150,114,57,37,0.01,1
543,95,483,150,114,57,37.25,0.01,1
546,93,483,150,114,57,37.5,0.01,1
549,92,484,150,114,57,37.75,0.01,1
552,86,484,150,114,58,38,0.01,1
555,84,484,150,114,61,38.25,0.01,1
558,83,484,150,114,61,38.5,0.01,1
561,83,485,150,114,61,38.75,0.01,1
564,83,486,150,114,62,39,0.01,1
567,83,486,150,114,63,39.25,0.01,1
570,82,486,150,114,63,39.5,0.01,1
573,80,486,150,114,64,39.75,0.01,1
576,79,486,150,114,64,40,0.01,1
