time,necrotic_total,hepatocytes_total,kupffer_total,macrophages_total,senescent_total,real_time,r,run
0,0,600,150,0,0,-8,0.125,1
3,0,600,150,0,0,-7.75,0.125,1
6,0,600,150,0,0,-7.5,0.125,1
9,0,600,150,0,0,-7.25,0.125,1
12,0,600,150,0,0,-7,0.125,1
15,0,600,150,0,0,-6.75,0.125,1
18,0,600,150,0,0,-6.5,0.125,1
21,0,600,150,0,0,-6.25,0.125,1
24,0,600,150,0,0,-6,0.125,1
27,0,600,150,0,0,-5.75,0.125,1
30,0,600,150,0,0,-5.5,0.125,1
33,0,600,150,0,0,-5.25,0.125,1
36,0,600,150,0,0,-5,0.125,1
39,0,600,150,0,0,-4.75,0.125,1
42,0,600,150,0,0,-4.5,0.125,1
45,0,600,150,0,0,-4.25,0.125,1
48,0,600,150,0,0,-4,0.125,1
51,0,600,150,0,0,-3.75,0.125,1
54,0,600,150,0,0,-3.5,0.125,1
57,0,600,150,0,0,-3.25,0.125,1
60,0,600,150,0,0,-3,0.125,1
63,0,600,150,0,0,-2.75,0.125,1
66,0,600,150,0,0,-2.5,0.125,1
69,0,600,150,0,0,-2.25,0.125,1
72,0,600,150,0,0,-2,0.125,1
75,0,600,150,0,0,-1.75,0.125,1
78,0,600,150,0,0,-1.5,0.125,1
81,0,600,150,0,0,-1.25,0.125,1
84,0,600,150,0,0,-1,0.125,1
87,0,600,150,0,0,-0.75,0.125,1
90,0,600,150,0,0,-0.5,0.125,1
93,0,600,150,0,0,-0.25,0.125,1
96,0,600,150,0,0,0,0.125,1
99,0,600,150,0,0,0.25,0.125,1
102,0,600,150,0,0,0.5,0.125,1
105,0,600,150,0,0,0.75,0.125,1
108,0,600,150,0,0,1,0.125,1
111,0,600,150,0,0,1.25,0.125,1
114,0,600,150,0,0,1.5,0.125,1
117,0,600,150,0,0,1.75,0.125,1
120,0,600,150,0,0,2,0.125,1
123,0,600,150,0,0,2.25,0.125,1
126,0,600,150,0,0,2.5,0.125,1
129,0,600,150,0,0,2.75,0.125,1
132,0,600,150,0,0,3,0.125,1
135,0,600,150,0,0,3.25,0.125,1
138,0,600,150,0,0,3.5,0.125,1
141,0,600,150,0,0,3.75,0.125,1
144,0,600,150,0,0,4,0.125,1
147,0,600,150,0,0,4.25,0.125,1
150,0,600,150,0,0,4.5,0.125,1
153,0,600,150,0,0,4.75,0.125,1
156,0,600,150,0,0,5,0.125,1
159,0,600,150,0,0,5.25,0.125,1
162,0,600,150,0,0,5.5,0.125,1
165,0,600,150,0,0,5.75,0.125,1
168,0,600,150,0,0,6,0.125,1
171,0,600,150,0,0,6.25,0.125,1
174,0,600,150,0,0,6.5,0.125,1
177,0,600,150,0,0,6.75,0.125,1
180,0,600,150,0,0,7,0.125,1
183,0,600,150,0,0,7.25,0.125,1
186,0,600,150,0,0,7.5,0.125,1
189,16,584,150,0,0,7.75,0.125,1
192,31,569,150,0,0,8,0.125,1
195,39,561,150,0,0,8.25,0.125,1
198,52,548,150,0,0,8.5,0.125,1
201,53,547,150,1,0,8.75,0.125,1
204,61,539,150,4,0,9,0.125,1
207,68,532,150,6,0,9.25,0.125,1
210,75,525,150,8,0,9.5,0.125,1
213,83,517,150,10,0,9.75,0.125,1
216,86,515,150,11,0,10,0.125,1
219,92,509,150,13,0,10.25,0.125,1
222,94,509,150,13,0,10.5,0.125,1
225,99,504,150,13,0,10.75,0.125,1
228,100,503,150,15,0,11,0.125,1
231,100,504,150,16,0,11.25,0.125,1
234,108,496,150,17,0,11.5,0.125,1
237,112,493,150,18,0,11.75,0.125,1
240,113,493,150,19,0,12,0.125,1
243,119,487,150,21,0,12.25,0.125,1
246,122,484,150,23,0,12.5,0.125,1
249,122,484,150,24,0,12.75,0.125,1
252,123,483,150,25,0,13,0.125,1
255,128,479,150,26,0,13.25,0.125,1
258,130,478,150,27,0,13.5,0.125,1
261,132,477,150,30,0,13.75,0.125,1
264,136,475,150,31,0,14,0.125,1
267,136,475,150,32,0,14.25,0.125,1
270,138,473,150,33,0,14.5,0.125,1
273,140,472,150,36,0,14.75,0.125,1
276,141,471,150,39,0,15,0.125,1
279,141,472,150,41,2,15.25,0.125,1
282,142,471,150,44,2,15.5,0.125,1
285,145,469,150,45,1,15.75,0.125,1
288,145,470,150,47,1,16,0.125,1
291,145,471,150,48,1,16.25,0.125,1
294,145,474,150,50,1,16.5,0.125,1
297,145,477,150,51,1,16.75,0.125,1
300,145,480,150,52,3,17,0.125,1
303,145,482,150,54,3,17.25,0.125,1
306,145,484,150,55,3,17.5,0.125,1
309,145,486,150,57,3,17.75,0.125,1
312,145,490,150,57,3,18,0.125,1
315,145,490,150,59,3,18.25,0.125,1
318,145,491,150,60,3,18.5,0.125,1
321,145,492,150,63,3,18.75,0.125,1
324,145,496,150,64,3,19,0.125,1
327,145,497,150,66,3,19.25,0.125,1
330,145,500,150,67,3,19.5,0.125,1
333,145,502,150,69,3,19.75,0.125,1
336,145,502,150,71,3,20,0.125,1
339,145,504,150,73,3,20.25,0.125,1
342,145,505,150,75,3,20.5,0.125,1
345,145,508,150,78,3,20.75,0.125,1
348,145,508,150,79,3,21,0.125,1
351,145,511,150,82,3,21.25,0.125,1
354,145,514,150,84,3,21.5,0.125,1
357,145,515,150,86,3,21.75,0.125,1
360,145,517,150,88,3,22,0.125,1
363,145,518,150,90,3,22.25,0.125,1
366,145,521,150,91,3,22.5,0.125,1
369,145,522,150,93,3,22.75,0.125,1
372,145,525,150,94,3,23,0.125,1
375,144,526,150,96,3,23.25,0.125,1
378,143,527,150,97,3,23.5,0.125,1
381,143,531,150,99,3,23.75,0.125,1
384,142,533,150,101,3,24,0.125,1
387,142,535,150,101,3,24.25,0.125,1
390,141,539,150,101,3,24.5,0.125,1
393,138,541,150,101,3,24.75,0.125,1
396,136,541,150,103,3,25,0.125,1
399,136,542,150,104,3,25.25,0.125,1
402,134,546,150,104,3,25.5,0.125,1
405,134,551,150,104,3,25.75,0.125,1
408,131,553,150,104,3,26,0.125,1
411,131,554,150,104,3,26.25,0.125,1
414,130,555,150,104,3,26.5,0.125,1
417,127,561,150,104,3,26.75,0.125,1
420,125,563,150,104,3,27,0.125,1
423,124,565,150,104,3,27.25,0.125,1
426,124,566,150,104,3,27.5,0.125,1
429,124,569,150,104,3,27.75,0.125,1
432,122,571,150,104,3,28,0.125,1
435,119,575,150,104,3,28.25,0.125,1
438,119,576,150,104,3,28.5,0.125,1
441,119,577,150,104,3,28.75,0.125,1
444,118,579,150,104,3,29,0.125,1
447,118,581,150,104,3,29.25,0.125,1
450,117,584,150,104,3,29.5,0.125,1
453,114,585,150,104,3,29.75,0.125,1
456,112,586,150,104,3,30,0.125,1
459,112,587,150,104,3,30.25,0.125,1
462,111,590,150,104,3,30.5,0.125,1
465,111,592,150,104,3,30.75,0.125,1
468,110,594,150,104,3,31,0.125,1
471,110,596,150,104,3,31.25,0.125,1
474,108,598,150,104,3,31.5,0.125,1
477,108,598,150,104,3,31.75,0.125,1
480,108,598,150,104,3,32,0.125,1
483,107,602,150,104,3,32.25,0.125,1
486,107,605,150,104,3,32.5,0.125,1
489,107,606,150,104,3,32.75,0.125,1
492,107,606,150,104,3,33,0.125,1
495,107,607,150,104,3,33.25,0.125,1
498,106,607,150,104,3,33.5,0.125,1
501,103,614,150,104,3,33.75,0.125,1
504,102,616,150,104,3,34,0.125,1
507,102,618,150,104,3,34.25,0.125,1
510,100,620,150,104,3,34.5,0.125,1
513,100,621,150,104,3,34.75,0.125,1
516,100,624,150,104,3,35,0.125,1
519,99,627,150,104,3,35.25,0.125,1
522,97,631,150,104,3,35.5,0.125,1
525,96,633,150,104,4,35.75,0.125,1
528,96,634,150,104,4,36,0.125,1
531,96,636,150,104,4,36.25,0.125,1
534,96,639,150,104,4,36.5,0.125,1
537,94,642,150,104,4,36.75,0.125,1
540,93,643,150,104,4,37,0.125,1
543,93,644,150,104,4,37.25,0.125,1
546,89,645,150,104,4,37.5,0.125,1
549,87,647,150,104,4,37.75,0.125,1
552,86,650,150,104,4,38,0.125,1
555,85,652,150,104,4,38.25,0.125,1
558,83,653,150,104,4,38.5,0.125,1
561,78,656,150,104,4,38.75,0.125,1
564,76,656,150,104,4,39,0.125,1
567,76,658,150,104,4,39.25,0.125,1
570,76,660,150,104,4,39.5,0.125,1
573,71,662,150,104,4,39.75,0.125,1
576,71,662,150,104,4,40,0.125,1
579,71,663,150,104,4,40.25,0.125,1
582,69,664,150,104,4,40.5,0.125,1
585,66,666,150,104,4,40.75,0.125,1
588,65,666,150,104,4,41,0.125,1
591,65,666,150,104,4,41.25,0.125,1
594,65,666,150,104,4,41.5,0.125,1
597,65,668,150,104,4,41.75,0.125,1
600,63,671,150,104,4,42,0.125,1
603,61,673,150,104,4,42.25,0.125,1
606,53,673,150,104,4,42.5,0.125,1
609,52,676,150,104,5,42.75,0.125,1
612,49,677,150,104,5,43,0.125,1
615,49,677,150,104,5,43.25,0.125,1
618,49,679,150,104,5,43.5,0.125,1
621,48,679,150,104,5,43.75,0.125,1
624,45,681,150,104,5,44,0.125,1
627,44,683,150,104,5,44.25,0.125,1
630,44,684,150,104,5,44.5,0.125,1
633,43,686,150,104,5,44.75,0.125,1
636,41,687,150,104,5,45,0.125,1
639,41,688,150,104,6,45.25,0.125,1
642,41,688,150,104,6,45.5,0.125,1
645,41,690,150,104,6,45.75,0.125,1
648,40,693,150,104,6,46,0.125,1
651,40,695,150,104,6,46.25,0.125,1
654,40,696,150,104,6,46.5,0.125,1
657,37,697,150,104,6,46.75,0.125,1
660,37,698,150,104,6,47,0.125,1
663,35,699,150,104,6,47.25,0.125,1
666,33,700,150,104,6,47.5,0.125,1
669,32,701,150,104,6,47.75,0.125,1
672,32,702,150,104,6,48,0.125,1
675,30,703,150,104,6,48.25,0.125,1
678,27,703,150,104,6,48.5,0.125,1
681,27,704,150,104,6,48.75,0.125,1
684,26,706,150,104,6,49,0.125,1
687,26,706,150,104,6,49.25,0.125,1
690,26,706,150,104,6,49.5,0.125,1
693,26,709,150,104,6,49.75,0.125,1
696,26,710,150,104,6,50,0.125,1
699,26,711,150,104,6,50.25,0.125,1
702,25,713,150,104,6,50.5,0.125,1
705,24,713,150,104,8,50.75,0.125,1
708,24,714,150,104,8,51,0.125,1
711,21,716,150,104,9,51.25,0.125,1
714,20,718,150,104,9,51.5,0.125,1
717,18,720,150,104,9,51.75,0.125,1
720,17,722,150,104,9,52,0.125,1
723,17,724,150,104,9,52.25,0.125,1
726,15,724,150,104,9,52.5,0.125,1
729,15,727,150,104,9,52.75,0.125,1
732,15,730,150,104,12,53,0.125,1
735,14,734,150,104,16,53.25,0.125,1
738,11,737,150,104,21,53.5,0.125,1
741,10,740,150,104,23,53.75,0.125,1
744,10,741,150,104,26,54,0.125,1
747,9,742,150,104,27,54.25,0.125,1
750,8,744,150,104,28,54.5,0.125,1
753,7,747,150,104,29,54.75,0.125,1
756,7,749,150,104,29,55,0.125,1
759,6,750,150,104,29,55.25,0.125,1
762,5,751,150,104,29,55.5,0.125,1
765,3,753,150,104,29,55.75,0.125,1
768,3,754,150,104,29,56,0.125,1
771,3,755,150,104,29,56.25,0.125,1
774,2,757,150,104,29,56.5,0.125,1
777,2,757,150,104,29,56.75,0.125,1
780,1,758,150,104,29,57,0.125,1
783,1,760,150,104,30,57.25,0.125,1
786,1,760,150,104,30,57.5,0.125,1
789,1,761,150,104,31,57.75,0.125,1
792,1,764,150,104,31,58,0.125,1
795,1,766,150,104,32,58.25,0.125,1
798,1,768,150,104,32,58.5,0.125,1
801,1,768,150,104,33,58.75,0.125,1
804,1,774,150,104,36,59,0.125,1
807,1,774,150,104,38,59.25,0.125,1
810,1,774,150,104,40,59.5,0.125,1
813,1,774,150,104,41,59.75,0.125,1
816,1,775,150,104,43,60,0.125,1
819,1,777,150,104,46,60.25,0.125,1
822,1,779,150,104,48,60.5,0.125,1
825,1,780,150,104,50,60.75,0.125,1
828,1,780,150,104,50,61,0.125,1
831,1,780,150,104,54,61.25,0.125,1
834,1,780,150,104,55,61.5,0.125,1
837,1,782,150,104,56,61.75,0.125,1
840,1,783,150,104,57,62,0.125,1
843,1,784,150,104,57,62.25,0.125,1
846,1,785,150,104,58,62.5,0.125,1
849,1,785,150,104,59,62.75,0.125,1
