proliferated,r,run
0,0.125,1
0,0.125,10
0,0.125,2
0,0.125,3
0,0.125,4
0,0.125,5
0,0.125,6
0,0.125,7
0,0.125,8
0,0.125,9
0,0.167,1
0,0.167,10
0,0.167,2
0,0.167,3
0,4,1
0,0.167,5
0,0.167,6
0,0.167,7
0,0.167,8
0,4,1
2,0.25,1
0,4,1
0,4,1
0,0.25,3
0,4,1
0,0.25,5
0,4,1
0,4,1
0,0.25,8
0,4,1
8,0.5,1
4,0.5,10
6,0.5,2
1,0.5,3
4,0.5,4
8,0.5,5
8,0.5,6
3,0.5,7
3,0.5,8
5,0.5,9
80,2,1
99,2,10
76,2,2
63,2,3
88,2,4
82,2,5
69,2,6
82,2,7
126,2,8
72,2,9
180,4,1
144,4,10
156,4,2
105,4,3
151,4,4
177,4,5
127,4,6
147,4,7
191,4,8
141,4,9
234,6,1
180,6,10
221,6,2
197,6,3
123,6,4
173,6,5
198,6,6
198,6,7
164,6,8
227,6,9
196,8,1
194,8,10
190,8,2
199,8,3
231,8,4
209,8,5
221,8,6
203,8,7
260,8,8
191,8,9
