time,necrotic_total,hepatocytes_total,kupffer_total,macrophages_total,senescent_total,real_time,r,run
0,0,600,150,0,0,-8,0.125,1
3,0,600,150,0,0,-7.75,0.125,1
6,0,600,150,0,0,-7.5,0.125,1
9,0,600,150,0,0,-7.25,0.125,1
12,0,600,150,0,0,-7,0.125,1
15,0,600,150,0,0,-6.75,0.125,1
18,0,600,150,0,0,-6.5,0.125,1
21,0,600,150,0,0,-6.25,0.125,1
24,0,600,150,0,0,-6,0.125,1
27,0,600,150,0,0,-5.75,0.125,1
30,0,600,150,0,0,-5.5,0.125,1
33,0,600,150,0,0,-5.25,0.125,1
36,0,600,150,0,0,-5,0.125,1
39,0,600,150,0,0,-4.75,0.125,1
42,0,600,150,0,0,-4.5,0.125,1
45,0,600,150,0,0,-4.25,0.125,1
48,0,600,150,0,0,-4,0.125,1
51,0,600,150,0,0,-3.75,0.125,1
54,0,600,150,0,0,-3.5,0.125,1
57,0,600,150,0,0,-3.25,0.125,1
60,0,600,150,0,0,-3,0.125,1
63,0,600,150,0,0,-2.75,0.125,1
66,0,600,150,0,0,-2.5,0.125,1
69,0,600,150,0,0,-2.25,0.125,1
72,0,600,150,0,0,-2,0.125,1
75,0,600,150,0,0,-1.75,0.125,1
78,0,600,150,0,0,-1.5,0.125,1
81,0,600,150,0,0,-1.25,0.125,1
84,0,600,150,0,0,-1,0.125,1
87,0,600,150,0,0,-0.75,0.125,1
90,0,600,150,0,0,-0.5,0.125,1
93,0,600,150,0,0,-0.25,0.125,1
96,0,600,150,0,0,0,0.125,1
99,0,600,150,0,0,0.25,0.125,1
102,0,600,150,0,0,0.5,0.125,1
105,0,600,150,0,0,0.75,0.125,1
108,0,600,150,0,0,1,0.125,1
111,0,600,150,0,0,1.25,0.125,1
114,0,600,150,0,0,1.5,0.125,1
117,0,600,150,0,0,1.75,0.125,1
120,0,600,150,0,0,2,0.125,1
123,0,600,150,0,0,2.25,0.125,1
126,0,600,150,0,0,2.5,0.125,1
129,0,600,150,0,0,2.75,0.125,1
132,0,600,150,0,0,3,0.125,1
135,0,600,150,0,0,3.25,0.125,1
138,0,600,150,0,0,3.5,0.125,1
141,0,600,150,0,0,3.75,0.125,1
144,0,600,150,0,0,4,0.125,1
147,0,600,150,0,0,4.25,0.125,1
150,0,600,150,0,0,4.5,0.125,1
153,0,600,150,0,0,4.75,0.125,1
156,0,600,150,0,0,5,0.125,1
159,0,600,150,0,0,5.25,0.125,1
162,0,600,150,0,0,5.5,0.125,1
165,0,600,150,0,0,5.75,0.125,1
168,0,600,150,0,0,6,0.125,1
171,0,600,150,0,0,6.25,0.125,1
174,0,600,150,0,0,6.5,0.125,1
177,0,600,150,0,0,6.75,0.125,1
180,0,600,150,0,0,7,0.125,1
183,0,600,150,0,0,7.25,0.125,1
186,0,600,150,0,0,7.5,0.125,1
189,17,583,150,0,0,7.75,0.125,1
192,28,572,150,0,0,8,0.125,1
195,37,563,150,0,0,8.25,0.125,1
198,46,554,150,0,0,8.5,0.125,1
201,54,546,150,0,0,8.75,0.125,1
204,62,538,150,1,0,9,0.125,1
207,71,529,150,2,0,9.25,0.125,1
210,74,526,150,2,0,9.5,0.125,1
213,78,522,150,4,0,9.75,0.125,1
216,82,518,150,4,0,10,0.125,1
219,88,512,150,4,0,10.25,0.125,1
222,94,506,150,5,0,10.5,0.125,1
225,97,503,150,6,0,10.75,0.125,1
228,100,500,150,8,0,11,0.125,1
231,106,494,150,9,0,11.25,0.125,1
234,106,494,150,10,0,11.5,0.125,1
237,109,491,150,13,0,11.75,0.125,1
240,111,489,150,14,0,12,0.125,1
243,112,488,150,17,0,12.25,0.125,1
246,116,484,150,18,0,12.5,0.125,1
249,123,477,150,21,0,12.75,0.125,1
252,126,474,150,23,0,13,0.125,1
255,126,474,150,24,0,13.25,0.125,1
258,128,472,150,26,0,13.5,0.125,1
261,131,469,150,28,0,13.75,0.125,1
264,134,466,150,29,0,14,0.125,1
267,137,463,150,32,0,14.25,0.125,1
270,138,462,150,33,0,14.5,0.125,1
273,138,462,150,34,0,14.75,0.125,1
276,138,462,150,36,3,15,0.125,1
279,138,462,150,37,4,15.25,0.125,1
282,138,462,150,37,5,15.5,0.125,1
285,138,462,150,39,7,15.75,0.125,1
288,138,462,150,40,10,16,0.125,1
291,138,462,150,40,15,16.25,0.125,1
294,139,461,150,41,18,16.5,0.125,1
297,139,461,150,43,22,16.75,0.125,1
300,139,461,150,45,27,17,0.125,1
303,139,461,150,46,29,17.25,0.125,1
306,139,461,150,49,33,17.5,0.125,1
309,139,461,150,51,35,17.75,0.125,1
312,139,461,150,53,38,18,0.125,1
315,139,461,150,56,39,18.25,0.125,1
318,139,461,150,58,40,18.5,0.125,1
321,139,461,150,59,44,18.75,0.125,1
324,139,461,150,59,47,19,0.125,1
327,139,461,150,61,50,19.25,0.125,1
330,139,461,150,62,50,19.5,0.125,1
333,139,461,150,64,51,19.75,0.125,1
336,139,461,150,66,51,20,0.125,1
339,139,461,150,68,51,20.25,0.125,1
342,139,461,150,71,52,20.5,0.125,1
345,139,461,150,71,52,20.75,0.125,1
348,139,461,150,72,52,21,0.125,1
351,139,461,150,74,54,21.25,0.125,1
354,139,461,150,74,55,21.5,0.125,1
357,139,461,150,74,58,21.75,0.125,1
360,139,461,150,74,58,22,0.125,1
363,139,461,150,74,61,22.25,0.125,1
366,139,461,150,74,62,22.5,0.125,1
369,139,461,150,74,64,22.75,0.125,1
372,139,461,150,74,64,23,0.125,1
375,139,461,150,74,64,23.25,0.125,1
378,139,461,150,74,65,23.5,0.125,1
381,139,461,150,74,68,23.75,0.125,1
384,139,461,150,74,69,24,0.125,1
387,138,461,150,74,70,24.25,0.125,1
390,136,461,150,74,72,24.5,0.125,1
393,136,461,150,74,72,24.75,0.125,1
396,135,461,150,75,72,25,0.125,1
399,134,461,150,77,73,25.25,0.125,1
402,132,461,150,80,73,25.5,0.125,1
405,130,461,150,80,75,25.75,0.125,1
408,129,461,150,81,76,26,0.125,1
411,127,461,150,83,76,26.25,0.125,1
414,126,461,150,84,76,26.5,0.125,1
417,123,461,150,84,76,26.75,0.125,1
420,120,461,150,85,76,27,0.125,1
423,117,461,150,85,77,27.25,0.125,1
426,117,461,150,85,77,27.5,0.125,1
429,115,461,150,85,77,27.75,0.125,1
432,115,461,150,85,77,28,0.125,1
435,115,461,150,85,77,28.25,0.125,1
438,115,461,150,85,77,28.5,0.125,1
441,115,461,150,85,77,28.75,0.125,1
444,115,461,150,85,77,29,0.125,1
447,115,461,150,85,78,29.25,0.125,1
450,114,461,150,85,78,29.5,0.125,1
453,113,461,150,85,78,29.75,0.125,1
456,112,461,150,85,79,30,0.125,1
459,111,461,150,85,80,30.25,0.125,1
462,111,461,150,85,80,30.5,0.125,1
465,111,461,150,85,81,30.75,0.125,1
468,109,461,150,85,82,31,0.125,1
471,108,461,150,85,82,31.25,0.125,1
474,108,461,150,85,82,31.5,0.125,1
477,108,461,150,85,83,31.75,0.125,1
480,107,461,150,85,83,32,0.125,1
483,107,461,150,85,83,32.25,0.125,1
486,107,461,150,85,84,32.5,0.125,1
489,107,461,150,85,84,32.75,0.125,1
492,106,461,150,85,84,33,0.125,1
495,105,461,150,85,86,33.25,0.125,1
498,104,461,150,85,86,33.5,0.125,1
501,102,461,150,85,86,33.75,0.125,1
504,102,461,150,85,86,34,0.125,1
507,100,461,150,85,86,34.25,0.125,1
510,99,461,150,85,86,34.5,0.125,1
513,99,461,150,85,86,34.75,0.125,1
516,99,461,150,85,86,35,0.125,1
519,95,461,150,85,86,35.25,0.125,1
522,95,461,150,85,87,35.5,0.125,1
525,92,461,150,85,87,35.75,0.125,1
528,92,461,150,85,87,36,0.125,1
531,92,461,150,85,87,36.25,0.125,1
534,92,461,150,85,87,36.5,0.125,1
537,91,461,150,85,87,36.75,0.125,1
540,89,461,150,85,88,37,0.125,1
543,88,461,150,85,88,37.25,0.125,1
546,87,461,150,85,88,37.5,0.125,1
549,87,461,150,85,89,37.75,0.125,1
552,85,461,150,85,90,38,0.125,1
555,85,461,150,85,91,38.25,0.125,1
558,84,461,150,85,91,38.5,0.125,1
561,83,461,150,85,91,38.75,0.125,1
564,83,461,150,85,92,39,0.125,1
567,83,461,150,85,92,39.25,0.125,1
570,81,461,150,85,92,39.5,0.125,1
573,75,461,150,85,92,39.75,0.125,1
576,70,461,150,85,92,40,0.125,1
579,70,461,150,85,93,40.25,0.125,1
582,69,461,150,85,93,40.5,0.125,1
585,67,461,150,85,93,40.75,0.125,1
588,64,461,150,85,94,41,0.125,1
591,63,461,150,85,94,41.25,0.125,1
594,63,461,150,85,94,41.5,0.125,1
597,63,461,150,85,95,41.75,0.125,1
600,63,461,150,85,95,42,0.125,1
603,62,461,150,85,95,42.25,0.125,1
606,61,461,150,85,95,42.5,0.125,1
609,61,461,150,85,96,42.75,0.125,1
612,58,461,150,85,96,43,0.125,1
615,58,461,150,85,96,43.25,0.125,1
618,58,461,150,85,96,43.5,0.125,1
621,58,461,150,85,96,43.75,0.125,1
624,56,461,150,85,96,44,0.125,1
627,56,461,150,85,96,44.25,0.125,1
630,56,461,150,85,96,44.5,0.125,1
633,56,461,150,85,96,44.75,0.125,1
636,56,461,150,85,96,45,0.125,1
639,55,461,150,85,96,45.25,0.125,1
642,54,461,150,85,96,45.5,0.125,1
645,54,461,150,85,96,45.75,0.125,1
648,53,461,150,85,96,46,0.125,1
651,52,461,150,85,96,46.25,0.125,1
654,52,461,150,85,96,46.5,0.125,1
657,51,461,150,85,96,46.75,0.125,1
660,51,461,150,85,96,47,0.125,1
663,51,461,150,85,96,47.25,0.125,1
666,51,461,150,85,96,47.5,0.125,1
669,50,461,150,85,96,47.75,0.125,1
672,50,461,150,85,96,48,0.125,1
675,49,461,150,85,96,48.25,0.125,1
678,44,461,150,85,96,48.5,0.125,1
681,44,461,150,85,96,48.75,0.125,1
684,44,461,150,85,96,49,0.125,1
687,44,461,150,85,96,49.25,0.125,1
690,44,461,150,85,96,49.5,0.125,1
693,44,461,150,85,96,49.75,0.125,1
696,42,461,150,85,96,50,0.125,1
699,42,461,150,85,96,50.25,0.125,1
702,41,461,150,85,96,50.5,0.125,1
705,40,461,150,85,96,50.75,0.125,1
708,39,461,150,85,96,51,0.125,1
711,39,461,150,85,96,51.25,0.125,1
714,38,461,150,85,96,51.5,0.125,1
717,37,461,150,85,96,51.75,0.125,1
720,36,461,150,85,96,52,0.125,1
723,33,461,150,85,97,52.25,0.125,1
726,27,461,150,85,97,52.5,0.125,1
729,26,461,150,85,97,52.75,0.125,1
732,25,461,150,85,97,53,0.125,1
735,25,461,150,85,97,53.25,0.125,1
738,25,461,150,85,97,53.5,0.125,1
741,22,461,150,85,97,53.75,0.125,1
744,22,461,150,85,97,54,0.125,1
747,22,461,150,85,97,54.25,0.125,1
750,20,461,150,85,97,54.5,0.125,1
753,19,461,150,85,97,54.75,0.125,1
756,18,461,150,85,97,55,0.125,1
759,18,461,150,85,97,55.25,0.125,1
762,18,461,150,85,97,55.5,0.125,1
765,17,461,150,85,97,55.75,0.125,1
768,17,461,150,85,97,56,0.125,1
771,16,461,150,85,97,56.25,0.125,1
774,15,461,150,85,97,56.5,0.125,1
777,15,461,150,85,97,56.75,0.125,1
780,14,461,150,85,97,57,0.125,1
783,14,461,150,85,97,57.25,0.125,1
786,14,461,150,85,98,57.5,0.125,1
789,14,461,150,85,98,57.75,0.125,1
792,13,461,150,85,98,58,0.125,1
795,13,461,150,85,98,58.25,0.125,1
798,13,461,150,85,98,58.5,0.125,1
801,13,461,150,85,98,58.75,0.125,1
804,13,461,150,85,98,59,0.125,1
807,13,461,150,85,98,59.25,0.125,1
810,12,461,150,85,98,59.5,0.125,1
813,12,461,150,85,98,59.75,0.125,1
816,12,461,150,85,98,60,0.125,1
819,12,461,150,85,98,60.25,0.125,1
822,12,461,150,85,98,60.5,0.125,1
825,12,461,150,85,98,60.75,0.125,1
828,11,461,150,85,98,61,0.125,1
831,9,461,150,85,98,61.25,0.125,1
834,9,461,150,85,98,61.5,0.125,1
837,9,461,150,85,98,61.75,0.125,1
840,8,461,150,85,98,62,0.125,1
843,6,461,150,85,98,62.25,0.125,1
846,4,461,150,85,98,62.5,0.125,1
849,4,461,150,85,98,62.75,0.125,1
