r,run,proliferated
0.125,1,20
0.125,10,39
0.125,2,29
0.125,3,31
0.125,4,32
0.125,5,30
0.125,6,27
0.125,7,41
0.125,8,28
0.125,9,29
0.167,1,19
0.167,10,48
0.167,2,36
0.167,3,19
0.167,4,42
0.167,5,31
0.167,6,19
0.167,7,52
0.167,8,53
0.167,9,18
0.25,1,75
0.25,10,30
0.25,2,38
0.25,3,56
0.25,4,26
0.25,5,33
0.25,6,49
0.25,7,37
0.25,8,32
0.25,9,30
0.5,1,26
0.5,10,39
0.5,2,22
0.5,3,34
0.5,4,41
0.5,5,28
0.5,6,61
0.5,7,29
0.5,8,38
0.5,9,37
2,1,27
2,10,23
2,2,41
2,3,50
2,4,27
2,5,26
2,6,22
2,7,20
2,8,18
2,9,26
4,1,28
4,10,24
4,2,19
4,3,25
4,4,25
4,5,22
4,6,23
4,7,27
4,8,22
4,9,31
6,1,14
6,10,21
6,2,24
6,3,9
6,4,30
6,5,22
6,6,12
6,7,27
6,8,15
6,9,15
8,1,27
8,10,15
8,2,15
8,3,21
8,4,12
8,5,16
8,6,16
8,7,17
8,8,16
8,9,15
