time,necrotic_total,hepatocytes_total,kupffer_total,macrophages_total,senescent_total,real_time,r,run
0,0,600,150,0,0,-8,0.125,1
3,0,600,150,0,0,-7.75,0.125,1
6,0,600,150,0,0,-7.5,0.125,1
9,0,600,150,0,0,-7.25,0.125,1
12,0,600,150,0,0,-7,0.125,1
15,0,600,150,0,0,-6.75,0.125,1
18,0,600,150,0,0,-6.5,0.125,1
21,0,600,150,0,0,-6.25,0.125,1
24,0,600,150,0,0,-6,0.125,1
27,0,600,150,0,0,-5.75,0.125,1
30,0,600,150,0,0,-5.5,0.125,1
33,0,600,150,0,0,-5.25,0.125,1
36,0,600,150,0,0,-5,0.125,1
39,0,600,150,0,0,-4.75,0.125,1
42,0,600,150,0,0,-4.5,0.125,1
45,0,600,150,0,0,-4.25,0.125,1
48,0,600,150,0,0,-4,0.125,1
51,0,600,150,0,0,-3.75,0.125,1
54,0,600,150,0,0,-3.5,0.125,1
57,0,600,150,0,0,-3.25,0.125,1
60,0,600,150,0,0,-3,0.125,1
63,0,600,150,0,0,-2.75,0.125,1
66,0,600,150,0,0,-2.5,0.125,1
69,0,600,150,0,0,-2.25,0.125,1
72,0,600,150,0,0,-2,0.125,1
75,0,600,150,0,0,-1.75,0.125,1
78,0,600,150,0,0,-1.5,0.125,1
81,0,600,150,0,0,-1.25,0.125,1
84,0,600,150,0,0,-1,0.125,1
87,0,600,150,0,0,-0.75,0.125,1
90,0,600,150,0,0,-0.5,0.125,1
93,0,600,150,0,0,-0.25,0.125,1
96,0,600,150,0,0,0,0.125,1
99,0,600,150,0,0,0.25,0.125,1
102,0,600,150,0,0,0.5,0.125,1
105,0,600,150,0,0,0.75,0.125,1
108,0,600,150,0,0,1,0.125,1
111,0,600,150,0,0,1.25,0.125,1
114,0,600,150,0,0,1.5,0.125,1
117,0,600,150,0,0,1.75,0.125,1
120,0,600,150,0,0,2,0.125,1
123,0,600,150,0,0,2.25,0.125,1
126,0,600,150,0,0,2.5,0.125,1
129,0,600,150,0,0,2.75,0.125,1
132,0,600,150,0,0,3,0.125,1
135,0,600,150,0,0,3.25,0.125,1
138,0,600,150,0,0,3.5,0.125,1
141,0,600,150,0,0,3.75,0.125,1
144,0,600,150,0,0,4,0.125,1
147,0,600,150,0,0,4.25,0.125,1
150,0,600,150,0,0,4.5,0.125,1
153,0,600,150,0,0,4.75,0.125,1
156,0,600,150,0,0,5,0.125,1
159,0,600,150,0,0,5.25,0.125,1
162,0,600,150,0,0,5.5,0.125,1
165,0,600,150,0,0,5.75,0.125,1
168,0,600,150,0,0,6,0.125,1
171,0,600,150,0,0,6.25,0.125,1
174,0,600,150,0,0,6.5,0.125,1
177,0,600,150,0,0,6.75,0.125,1
180,0,600,150,0,0,7,0.125,1
183,0,600,150,0,0,7.25,0.125,1
186,0,600,150,0,0,7.5,0.125,1
189,16,584,150,0,0,7.75,0.125,1
192,29,571,150,0,0,8,0.125,1
195,36,564,150,0,0,8.25,0.125,1
198,49,551,150,0,0,8.5,0.125,1
201,53,547,150,0,0,8.75,0.125,1
204,61,539,150,2,0,9,0.125,1
207,68,532,150,3,0,9.25,0.125,1
210,74,526,150,5,0,9.5,0.125,1
213,78,522,150,6,0,9.75,0.125,1
216,82,518,150,7,0,10,0.125,1
219,84,516,150,9,0,10.25,0.125,1
222,88,512,150,11,0,10.5,0.125,1
225,93,507,150,11,0,10.75,0.125,1
228,95,505,150,13,0,11,0.125,1
231,98,502,150,14,0,11.25,0.125,1
234,104,496,150,15,0,11.5,0.125,1
237,110,490,150,15,0,11.75,0.125,1
240,112,488,150,17,0,12,0.125,1
243,118,482,150,18,0,12.25,0.125,1
246,121,479,150,20,0,12.5,0.125,1
249,124,476,150,21,0,12.75,0.125,1
252,128,473,150,23,0,13,0.125,1
255,131,470,150,24,0,13.25,0.125,1
258,131,470,150,25,0,13.5,0.125,1
261,133,468,150,27,0,13.75,0.125,1
264,133,468,150,30,0,14,0.125,1
267,136,465,150,31,0,14.25,0.125,1
270,137,464,150,31,0,14.5,0.125,1
273,137,464,150,33,0,14.75,0.125,1
276,137,464,150,35,0,15,0.125,1
279,137,464,150,36,1,15.25,0.125,1
282,139,462,150,38,1,15.5,0.125,1
285,139,463,150,40,1,15.75,0.125,1
288,139,463,150,42,2,16,0.125,1
291,139,463,150,42,4,16.25,0.125,1
294,140,463,150,44,7,16.5,0.125,1
297,140,463,150,45,10,16.75,0.125,1
300,140,463,150,48,10,17,0.125,1
303,140,464,150,48,11,17.25,0.125,1
306,140,464,150,49,16,17.5,0.125,1
309,140,464,150,50,16,17.75,0.125,1
312,140,464,150,51,17,18,0.125,1
315,140,464,150,51,19,18.25,0.125,1
318,140,465,150,53,19,18.5,0.125,1
321,140,465,150,54,19,18.75,0.125,1
324,140,465,150,55,23,19,0.125,1
327,140,465,150,56,23,19.25,0.125,1
330,140,465,150,58,24,19.5,0.125,1
333,140,465,150,60,25,19.75,0.125,1
336,140,466,150,60,26,20,0.125,1
339,140,467,150,60,27,20.25,0.125,1
342,140,467,150,60,29,20.5,0.125,1
345,140,468,150,63,30,20.75,0.125,1
348,140,468,150,64,30,21,0.125,1
351,140,468,150,65,30,21.25,0.125,1
354,140,468,150,67,32,21.5,0.125,1
357,140,468,150,68,32,21.75,0.125,1
360,140,468,150,68,32,22,0.125,1
363,140,468,150,68,32,22.25,0.125,1
366,140,468,150,68,32,22.5,0.125,1
369,140,468,150,68,32,22.75,0.125,1
372,140,468,150,68,32,23,0.125,1
375,140,468,150,68,33,23.25,0.125,1
378,140,468,150,68,33,23.5,0.125,1
381,139,468,150,68,33,23.75,0.125,1
384,139,468,150,68,33,24,0.125,1
387,138,468,150,68,34,24.25,0.125,1
390,137,468,150,68,34,24.5,0.125,1
393,136,468,150,68,34,24.75,0.125,1
396,134,468,150,68,35,25,0.125,1
399,133,468,150,68,39,25.25,0.125,1
402,130,468,150,68,41,25.5,0.125,1
405,128,468,150,68,41,25.75,0.125,1
408,128,468,150,68,42,26,0.125,1
411,126,468,150,68,43,26.25,0.125,1
414,125,470,150,68,43,26.5,0.125,1
417,123,470,150,68,43,26.75,0.125,1
420,120,470,150,68,44,27,0.125,1
423,119,471,150,68,44,27.25,0.125,1
426,119,471,150,68,44,27.5,0.125,1
429,119,471,150,68,45,27.75,0.125,1
432,119,472,150,68,45,28,0.125,1
435,118,472,150,68,45,28.25,0.125,1
438,117,472,150,68,46,28.5,0.125,1
441,117,472,150,68,46,28.75,0.125,1
444,116,472,150,68,46,29,0.125,1
447,115,472,150,68,47,29.25,0.125,1
450,114,472,150,68,48,29.5,0.125,1
453,114,473,150,68,49,29.75,0.125,1
456,113,473,150,68,49,30,0.125,1
459,110,473,150,68,49,30.25,0.125,1
462,108,473,150,68,50,30.5,0.125,1
465,107,473,150,68,50,30.75,0.125,1
468,105,474,150,68,50,31,0.125,1
471,104,474,150,68,50,31.25,0.125,1
474,104,474,150,68,50,31.5,0.125,1
477,103,474,150,68,50,31.75,0.125,1
480,102,474,150,68,50,32,0.125,1
483,100,474,150,68,50,32.25,0.125,1
486,99,474,150,68,51,32.5,0.125,1
489,98,474,150,68,51,32.75,0.125,1
492,98,474,150,68,51,33,0.125,1
495,98,474,150,68,52,33.25,0.125,1
498,97,474,150,68,52,33.5,0.125,1
501,97,474,150,68,52,33.75,0.125,1
504,97,474,150,68,52,34,0.125,1
507,97,475,150,68,52,34.25,0.125,1
510,97,475,150,68,52,34.5,0.125,1
513,96,475,150,68,52,34.75,0.125,1
516,96,475,150,68,52,35,0.125,1
519,96,475,150,68,52,35.25,0.125,1
522,96,475,150,68,52,35.5,0.125,1
525,96,475,150,68,52,35.75,0.125,1
528,96,475,150,68,52,36,0.125,1
531,96,475,150,68,52,36.25,0.125,1
534,94,475,150,68,52,36.5,0.125,1
537,94,475,150,68,52,36.75,0.125,1
540,93,475,150,68,52,37,0.125,1
543,92,475,150,68,52,37.25,0.125,1
546,90,475,150,68,52,37.5,0.125,1
549,88,476,150,68,52,37.75,0.125,1
552,87,476,150,68,53,38,0.125,1
555,85,476,150,68,53,38.25,0.125,1
558,85,477,150,68,53,38.5,0.125,1
561,83,477,150,68,53,38.75,0.125,1
564,81,477,150,68,53,39,0.125,1
567,80,477,150,68,53,39.25,0.125,1
570,80,477,150,68,53,39.5,0.125,1
573,78,478,150,68,53,39.75,0.125,1
576,76,478,150,68,54,40,0.125,1
579,76,478,150,68,54,40.25,0.125,1
582,76,478,150,68,54,40.5,0.125,1
585,75,478,150,68,55,40.75,0.125,1
588,75,478,150,68,55,41,0.125,1
591,75,478,150,68,55,41.25,0.125,1
594,75,478,150,68,55,41.5,0.125,1
597,74,478,150,68,55,41.75,0.125,1
600,70,478,150,68,55,42,0.125,1
603,70,478,150,68,55,42.25,0.125,1
606,70,478,150,68,55,42.5,0.125,1
609,68,478,150,68,55,42.75,0.125,1
612,67,478,150,68,55,43,0.125,1
615,66,478,150,68,55,43.25,0.125,1
618,64,478,150,68,55,43.5,0.125,1
621,64,478,150,68,55,43.75,0.125,1
624,64,478,150,68,55,44,0.125,1
627,63,478,150,68,56,44.25,0.125,1
630,62,479,150,68,56,44.5,0.125,1
633,60,479,150,68,56,44.75,0.125,1
636,59,479,150,68,56,45,0.125,1
639,58,479,150,68,56,45.25,0.125,1
642,58,479,150,68,56,45.5,0.125,1
645,58,479,150,68,56,45.75,0.125,1
648,57,479,150,68,56,46,0.125,1
651,57,479,150,68,56,46.25,0.125,1
654,55,479,150,68,56,46.5,0.125,1
657,55,479,150,68,56,46.75,0.125,1
660,55,479,150,68,56,47,0.125,1
663,55,479,150,68,56,47.25,0.125,1
666,55,479,150,68,56,47.5,0.125,1
669,55,480,150,68,56,47.75,0.125,1
672,55,480,150,68,56,48,0.125,1
675,54,480,150,68,56,48.25,0.125,1
678,54,480,150,68,57,48.5,0.125,1
681,54,481,150,68,58,48.75,0.125,1
684,54,481,150,68,58,49,0.125,1
687,53,481,150,68,58,49.25,0.125,1
690,53,481,150,68,58,49.5,0.125,1
693,52,481,150,68,58,49.75,0.125,1
696,51,481,150,68,58,50,0.125,1
699,49,481,150,68,58,50.25,0.125,1
702,48,481,150,68,58,50.5,0.125,1
705,48,481,150,68,58,50.75,0.125,1
708,45,481,150,68,58,51,0.125,1
711,41,482,150,68,58,51.25,0.125,1
714,41,483,150,68,58,51.5,0.125,1
717,41,483,150,68,58,51.75,0.125,1
720,40,483,150,68,58,52,0.125,1
723,38,483,150,68,59,52.25,0.125,1
726,38,483,150,68,59,52.5,0.125,1
729,36,483,150,68,60,52.75,0.125,1
732,35,483,150,68,60,53,0.125,1
735,35,483,150,68,60,53.25,0.125,1
738,34,483,150,68,60,53.5,0.125,1
741,33,483,150,68,61,53.75,0.125,1
744,33,483,150,68,61,54,0.125,1
747,32,483,150,68,61,54.25,0.125,1
750,30,483,150,68,61,54.5,0.125,1
753,30,483,150,68,61,54.75,0.125,1
756,30,483,150,68,61,55,0.125,1
759,30,483,150,68,61,55.25,0.125,1
762,30,483,150,68,61,55.5,0.125,1
765,30,483,150,68,61,55.75,0.125,1
768,28,483,150,68,61,56,0.125,1
771,27,483,150,68,61,56.25,0.125,1
774,27,483,150,68,61,56.5,0.125,1
777,27,484,150,68,62,56.75,0.125,1
780,26,484,150,68,62,57,0.125,1
783,25,484,150,68,62,57.25,0.125,1
786,25,484,150,68,62,57.5,0.125,1
789,23,484,150,68,63,57.75,0.125,1
792,22,484,150,68,63,58,0.125,1
795,21,484,150,68,63,58.25,0.125,1
798,19,484,150,68,63,58.5,0.125,1
801,19,484,150,68,63,58.75,0.125,1
804,19,484,150,68,63,59,0.125,1
807,19,484,150,68,63,59.25,0.125,1
810,19,484,150,68,63,59.5,0.125,1
813,19,484,150,68,63,59.75,0.125,1
816,19,484,150,68,63,60,0.125,1
819,18,484,150,68,63,60.25,0.125,1
822,18,484,150,68,63,60.5,0.125,1
825,18,484,150,68,63,60.75,0.125,1
828,16,484,150,68,63,61,0.125,1
831,16,484,150,68,63,61.25,0.125,1
834,16,485,150,68,63,61.5,0.125,1
837,16,485,150,68,63,61.75,0.125,1
840,14,485,150,68,63,62,0.125,1
843,13,485,150,68,63,62.25,0.125,1
846,12,485,150,68,63,62.5,0.125,1
849,12,485,150,68,63,62.75,0.125,1
