time,necrotic_total,hepatocytes_total,kupffer_total,macrophages_total,senescent_total,real_time,exposure,run
0,0,600,150,0,0,-8,400,1
3,0,600,150,0,0,-7.75,400,1
6,0,600,150,0,0,-7.5,400,1
9,0,600,150,0,0,-7.25,400,1
12,0,600,150,0,0,-7,400,1
15,0,600,150,0,0,-6.75,400,1
18,0,600,150,0,0,-6.5,400,1
21,0,600,150,0,0,-6.25,400,1
24,0,600,150,0,0,-6,400,1
27,0,600,150,0,0,-5.75,400,1
30,0,600,150,0,0,-5.5,400,1
33,0,600,150,0,0,-5.25,400,1
36,0,600,150,0,0,-5,400,1
39,0,600,150,0,0,-4.75,400,1
42,0,600,150,0,0,-4.5,400,1
45,0,600,150,0,0,-4.25,400,1
48,0,600,150,0,0,-4,400,1
51,0,600,150,0,0,-3.75,400,1
54,0,600,150,0,0,-3.5,400,1
57,0,600,150,0,0,-3.25,400,1
60,0,600,150,0,0,-3,400,1
63,0,600,150,0,0,-2.75,400,1
66,0,600,150,0,0,-2.5,400,1
69,0,600,150,0,0,-2.25,400,1
72,0,600,150,0,0,-2,400,1
75,0,600,150,0,0,-1.75,400,1
78,0,600,150,0,0,-1.5,400,1
81,0,600,150,0,0,-1.25,400,1
84,0,600,150,0,0,-1,400,1
87,0,600,150,0,0,-0.75,400,1
90,0,600,150,0,0,-0.5,400,1
93,0,600,150,0,0,-0.25,400,1
96,0,600,150,0,0,0,400,1
99,0,600,150,0,0,0.25,400,1
102,0,600,150,0,0,0.5,400,1
105,0,600,150,0,0,0.75,400,1
108,0,600,150,0,0,1,400,1
111,0,600,150,0,0,1.25,400,1
114,0,600,150,0,0,1.5,400,1
117,0,600,150,0,0,1.75,400,1
120,0,600,150,0,0,2,400,1
123,0,600,150,0,0,2.25,400,1
126,0,600,150,0,0,2.5,400,1
129,0,600,150,0,0,2.75,400,1
132,0,600,150,0,0,3,400,1
135,0,600,150,0,0,3.25,400,1
138,0,600,150,0,0,3.5,400,1
141,0,600,150,0,0,3.75,400,1
144,0,600,150,0,0,4,400,1
147,0,600,150,0,0,4.25,400,1
150,0,600,150,0,0,4.5,400,1
153,0,600,150,0,0,4.75,400,1
156,0,600,150,0,0,5,400,1
159,0,600,150,0,0,5.25,400,1
162,0,600,150,0,0,5.5,400,1
165,0,600,150,0,0,5.75,400,1
168,0,600,150,0,0,6,400,1
171,0,600,150,0,0,6.25,400,1
174,0,600,150,0,0,6.5,400,1
177,0,600,150,0,0,6.75,400,1
180,0,600,150,0,0,7,400,1
183,0,600,150,0,0,7.25,400,1
186,0,600,150,0,0,7.5,400,1
189,0,600,150,0,0,7.75,400,1
192,0,600,150,0,0,8,400,1
195,0,600,150,0,0,8.25,400,1
198,0,600,150,0,0,8.5,400,1
201,0,600,150,0,0,8.75,400,1
204,0,600,150,0,0,9,400,1
207,0,600,150,0,0,9.25,400,1
210,14,586,150,0,0,9.5,400,1
213,19,581,150,0,0,9.75,400,1
216,24,576,150,0,0,10,400,1
219,31,569,150,0,0,10.25,400,1
222,35,565,150,0,0,10.5,400,1
225,39,561,150,0,0,10.75,400,1
228,43,557,150,0,0,11,400,1
231,49,551,150,0,0,11.25,400,1
234,54,546,150,0,0,11.5,400,1
237,55,545,150,0,0,11.75,400,1
240,57,543,150,0,0,12,400,1
243,62,538,150,0,0,12.25,400,1
246,64,536,150,0,0,12.5,400,1
249,65,535,150,0,0,12.75,400,1
252,66,534,150,0,0,13,400,1
255,68,532,150,0,0,13.25,400,1
258,69,531,150,0,0,13.5,400,1
261,70,530,150,0,0,13.75,400,1
264,72,528,150,0,0,14,400,1
267,73,527,150,0,0,14.25,400,1
270,74,526,150,0,1,14.5,400,1
273,74,526,150,0,1,14.75,400,1
276,74,526,150,0,2,15,400,1
279,74,526,150,0,9,15.25,400,1
282,75,525,150,0,10,15.5,400,1
285,75,525,150,0,11,15.75,400,1
288,75,525,150,0,14,16,400,1
291,76,524,150,0,16,16.25,400,1
294,76,524,150,0,18,16.5,400,1
297,76,524,150,0,19,16.75,400,1
300,76,524,150,0,20,17,400,1
303,76,524,150,0,21,17.25,400,1
306,76,524,150,0,21,17.5,400,1
309,76,524,150,0,21,17.75,400,1
312,76,524,150,0,21,18,400,1
315,76,524,150,0,22,18.25,400,1
318,76,524,150,0,23,18.5,400,1
321,76,524,150,0,24,18.75,400,1
324,76,524,150,0,25,19,400,1
327,76,524,150,0,27,19.25,400,1
330,76,524,150,0,28,19.5,400,1
333,76,524,150,0,30,19.75,400,1
336,76,524,150,0,30,20,400,1
339,76,524,150,0,30,20.25,400,1
342,76,524,150,0,30,20.5,400,1
345,76,524,150,0,30,20.75,400,1
348,76,524,150,0,30,21,400,1
351,76,524,150,0,30,21.25,400,1
354,76,524,150,0,30,21.5,400,1
357,76,524,150,0,31,21.75,400,1
360,76,524,150,0,31,22,400,1
363,76,524,150,0,31,22.25,400,1
366,76,524,150,0,31,22.5,400,1
369,76,524,150,0,31,22.75,400,1
372,76,524,150,0,32,23,400,1
375,76,524,150,0,32,23.25,400,1
378,76,524,150,0,33,23.5,400,1
381,76,524,150,0,33,23.75,400,1
384,76,524,150,0,33,24,400,1
387,76,524,150,0,34,24.25,400,1
390,76,524,150,0,34,24.5,400,1
393,76,524,150,0,34,24.75,400,1
396,76,524,150,0,34,25,400,1
399,76,524,150,0,34,25.25,400,1
402,76,524,150,0,35,25.5,400,1
405,76,524,150,0,35,25.75,400,1
408,76,524,150,0,35,26,400,1
411,76,524,150,0,35,26.25,400,1
414,76,524,150,0,35,26.5,400,1
417,76,524,150,0,35,26.75,400,1
420,76,524,150,0,35,27,400,1
423,76,524,150,0,35,27.25,400,1
426,76,524,150,0,35,27.5,400,1
429,76,524,150,0,36,27.75,400,1
432,76,524,150,0,36,28,400,1
435,76,524,150,0,36,28.25,400,1
438,76,524,150,0,36,28.5,400,1
441,76,524,150,0,36,28.75,400,1
444,76,524,150,0,38,29,400,1
447,76,524,150,0,38,29.25,400,1
450,76,524,150,0,38,29.5,400,1
453,76,524,150,0,38,29.75,400,1
456,76,524,150,0,38,30,400,1
459,76,524,150,0,38,30.25,400,1
462,76,524,150,0,38,30.5,400,1
465,76,524,150,0,38,30.75,400,1
468,76,524,150,0,38,31,400,1
471,76,524,150,0,38,31.25,400,1
474,76,524,150,0,38,31.5,400,1
477,76,524,150,0,38,31.75,400,1
480,76,524,150,0,38,32,400,1
483,76,524,150,0,38,32.25,400,1
486,76,524,150,0,38,32.5,400,1
489,76,524,150,0,38,32.75,400,1
492,76,524,150,0,38,33,400,1
495,76,524,150,0,38,33.25,400,1
498,76,524,150,0,38,33.5,400,1
501,76,524,150,0,38,33.75,400,1
504,76,524,150,0,38,34,400,1
507,76,524,150,0,38,34.25,400,1
510,76,524,150,0,38,34.5,400,1
513,76,524,150,0,38,34.75,400,1
516,76,524,150,0,38,35,400,1
519,76,524,150,0,38,35.25,400,1
522,76,524,150,0,38,35.5,400,1
525,76,524,150,0,38,35.75,400,1
528,76,524,150,0,38,36,400,1
531,76,524,150,0,38,36.25,400,1
534,76,524,150,0,38,36.5,400,1
537,76,524,150,0,38,36.75,400,1
540,76,524,150,0,38,37,400,1
543,76,524,150,0,38,37.25,400,1
546,76,524,150,0,38,37.5,400,1
549,76,524,150,0,38,37.75,400,1
552,76,524,150,0,38,38,400,1
555,76,524,150,0,38,38.25,400,1
558,76,524,150,0,38,38.5,400,1
561,76,524,150,0,38,38.75,400,1
564,76,524,150,0,38,39,400,1
567,76,524,150,0,38,39.25,400,1
570,76,524,150,0,38,39.5,400,1
573,76,524,150,0,38,39.75,400,1
576,76,524,150,0,38,40,400,1
579,76,524,150,0,38,40.25,400,1
582,76,524,150,0,38,40.5,400,1
