trtmt,time,real_time,C_mean,C_sd
3,0,-8,0,0
3,12,-7,0,0
3,24,-6,0,0
3,36,-5,0,0
3,48,-4,0,0
3,60,-3,0,0
3,72,-2,0,0
3,84,-1,0,0
3,96,0,3.313796196629e-5,5.3014243590263905e-8
3,108,1,0.013714929736926666,3.9223649149004116e-5
3,120,2,0.04759044151631833,1.45030347722448e-4
3,132,3,0.09891739442065667,2.826965866195002e-4
3,144,4,0.10475423920086833,3.2280705208650486e-4
3,156,5,0.10373963499582001,3.190703482214326e-4
3,168,6,0.10250509677329334,3.1890419066545446e-4
3,180,7,0.10088174348626167,3.209385896196297e-4
3,192,8,0.09880803274173666,3.2263605045872434e-4
3,204,9,0.09629088675447667,3.231323611521084e-4
3,216,10,0.09337533816881499,3.208599022729236e-4
3,228,11,0.09012655419174,3.166989682126628e-4
3,240,12,0.08661588172665667,3.1109080858141117e-4
3,252,13,0.08291472615968,3.04669759793967e-4
3,264,14,0.07908885420099,2.974164376854195e-4
3,276,15,0.07519673720935334,2.885617630577948e-4
3,288,16,0.07128915127862333,2.785933166268183e-4
3,300,17,0.06740924440544166,2.6777377887773234e-4
3,312,18,0.06359136027521833,2.5654993034323053e-4
3,324,19,0.059863111506888333,2.4516945076812524e-4
3,336,20,0.05624658574474333,2.3368524131841642e-4
3,348,21,0.052757484839576665,2.2224308373379914e-4
3,360,22,0.049407324932725,2.108067356574682e-4
3,372,23,0.04620397850391167,1.9936210158663078e-4
3,384,24,0.043152012799196664,1.8805697950833051e-4
3,396,25,0.040253479830966665,1.7709606734528415e-4
3,408,26,0.03750843301156167,1.6654076735942575e-4
3,420,27,0.03491520520655833,1.5635317832891115e-4
3,432,28,0.03247092104314167,1.46490236767188e-4
3,444,29,0.030171582656023332,1.3699936325889647e-4
3,456,30,0.028012473557156668,1.279591408579998e-4
3,468,31,0.025988415674053335,1.1934881048292833e-4
3,480,32,0.024093792627101665,1.1120524434125036e-4
3,492,33,0.022322802797396665,1.0353534614101993e-4
3,504,34,0.020669512405096666,9.630488630389782e-5
3,516,35,0.019127910279611665,8.949720244327524e-5
3,528,36,0.017691996534426668,8.307823408484633e-5
3,540,37,0.016355882522468335,7.704147413415975e-5
3,552,38,0.015113815838556666,7.138930422851219e-5
3,564,39,0.013960204704183334,6.611789329574974e-5
3,576,40,0.012889624612521166,6.119561427448489e-5
3,588,41,0.011896875806683667,5.660445498450112e-5
