time,necrotic_total,hepatocytes_total,kupffer_total,macrophages_total,senescent_total,real_time,trtmt,run
0,0,600,150,0,0,-8,3,1
3,0,600,150,0,0,-7.75,3,1
6,0,600,150,0,0,-7.5,3,1
9,0,600,150,0,0,-7.25,3,1
12,0,600,150,0,0,-7,3,1
15,0,600,150,0,0,-6.75,3,1
18,0,600,150,0,0,-6.5,3,1
21,0,600,150,0,0,-6.25,3,1
24,0,600,150,0,0,-6,3,1
27,0,600,150,0,0,-5.75,3,1
30,0,600,150,0,0,-5.5,3,1
33,0,600,150,0,0,-5.25,3,1
36,0,600,150,0,0,-5,3,1
39,0,600,150,0,0,-4.75,3,1
42,0,600,150,0,0,-4.5,3,1
45,0,600,150,0,0,-4.25,3,1
48,0,600,150,0,0,-4,3,1
51,0,600,150,0,0,-3.75,3,1
54,0,600,150,0,0,-3.5,3,1
57,0,600,150,0,0,-3.25,3,1
60,0,600,150,0,0,-3,3,1
63,0,600,150,0,0,-2.75,3,1
66,0,600,150,0,0,-2.5,3,1
69,0,600,150,0,0,-2.25,3,1
72,0,600,150,0,0,-2,3,1
75,0,600,150,0,0,-1.75,3,1
78,0,600,150,0,0,-1.5,3,1
81,0,600,150,0,0,-1.25,3,1
84,0,600,150,0,0,-1,3,1
87,0,600,150,0,0,-0.75,3,1
90,0,600,150,0,0,-0.5,3,1
93,0,600,150,0,0,-0.25,3,1
96,0,600,150,0,0,0,3,1
99,0,600,150,0,0,0.25,3,1
102,0,600,150,0,0,0.5,3,1
105,0,600,150,0,0,0.75,3,1
108,0,600,150,0,0,1,3,1
111,0,600,150,0,0,1.25,3,1
114,0,600,150,0,0,1.5,3,1
117,0,600,150,0,0,1.75,3,1
120,0,600,150,0,0,2,3,1
123,0,600,150,0,0,2.25,3,1
126,0,600,150,0,0,2.5,3,1
129,0,600,150,0,0,2.75,3,1
132,0,600,150,0,0,3,3,1
135,0,600,150,0,0,3.25,3,1
138,0,600,150,0,0,3.5,3,1
141,0,600,150,0,0,3.75,3,1
144,0,600,150,0,0,4,3,1
147,0,600,150,0,0,4.25,3,1
150,0,600,150,0,0,4.5,3,1
153,0,600,150,0,0,4.75,3,1
156,0,600,150,0,0,5,3,1
159,0,600,150,0,0,5.25,3,1
162,0,600,150,0,0,5.5,3,1
165,0,600,150,0,0,5.75,3,1
168,0,600,150,0,0,6,3,1
171,0,600,150,0,0,6.25,3,1
174,0,600,150,0,0,6.5,3,1
177,0,600,150,0,0,6.75,3,1
180,0,600,150,0,0,7,3,1
183,0,600,150,0,0,7.25,3,1
186,0,600,150,0,0,7.5,3,1
189,19,581,150,0,0,7.75,3,1
192,28,572,150,0,0,8,3,1
195,41,559,150,0,0,8.25,3,1
198,48,552,150,0,0,8.5,3,1
201,53,547,150,1,0,8.75,3,1
204,60,540,150,4,0,9,3,1
207,69,531,150,6,0,9.25,3,1
210,78,522,150,7,0,9.5,3,1
213,80,520,150,8,0,9.75,3,1
216,83,517,150,8,0,10,3,1
219,88,512,150,10,0,10.25,3,1
222,92,508,150,12,0,10.5,3,1
225,96,504,150,14,0,10.75,3,1
228,101,499,150,15,0,11,3,1
231,108,492,150,17,0,11.25,3,1
234,110,490,150,19,0,11.5,3,1
237,113,487,150,21,0,11.75,3,1
240,118,483,150,22,0,12,3,1
243,121,480,150,25,0,12.25,3,1
246,122,479,150,27,0,12.5,3,1
249,123,478,150,28,0,12.75,3,1
252,126,475,150,31,0,13,3,1
255,128,473,150,34,0,13.25,3,1
258,131,470,150,36,0,13.5,3,1
261,132,470,150,37,0,13.75,3,1
264,134,469,150,37,0,14,3,1
267,134,469,150,37,0,14.25,3,1
270,136,467,150,38,0,14.5,3,1
273,136,467,150,39,0,14.75,3,1
276,137,466,150,41,0,15,3,1
279,138,465,150,44,0,15.25,3,1
282,138,465,150,44,0,15.5,3,1
285,140,463,150,44,0,15.75,3,1
288,141,462,150,47,0,16,3,1
291,141,462,150,49,0,16.25,3,1
294,141,462,150,52,0,16.5,3,1
297,142,461,150,55,0,16.75,3,1
300,143,461,150,57,0,17,3,1
303,143,461,150,60,0,17.25,3,1
306,143,461,150,61,0,17.5,3,1
309,143,461,150,63,0,17.75,3,1
312,143,462,150,66,2,18,3,1
315,143,462,150,68,2,18.25,3,1
318,143,462,150,69,2,18.5,3,1
321,143,463,150,72,2,18.75,3,1
324,143,464,150,74,2,19,3,1
327,143,464,150,74,3,19.25,3,1
330,143,464,150,74,4,19.5,3,1
333,143,464,150,74,4,19.75,3,1
336,143,465,150,74,4,20,3,1
339,143,465,150,74,5,20.25,3,1
342,143,466,150,74,5,20.5,3,1
345,143,466,150,74,5,20.75,3,1
348,143,466,150,74,7,21,3,1
351,143,466,150,74,9,21.25,3,1
354,143,466,150,74,9,21.5,3,1
357,143,466,150,75,10,21.75,3,1
360,143,466,150,77,10,22,3,1
363,143,468,150,78,11,22.25,3,1
366,143,468,150,78,11,22.5,3,1
369,143,469,150,79,11,22.75,3,1
372,143,469,150,80,11,23,3,1
375,143,469,150,80,12,23.25,3,1
378,141,470,150,83,12,23.5,3,1
381,140,470,150,85,12,23.75,3,1
384,139,471,150,86,12,24,3,1
387,138,471,150,86,13,24.25,3,1
390,137,471,150,88,14,24.5,3,1
393,132,471,150,90,14,24.75,3,1
396,132,471,150,91,14,25,3,1
399,132,471,150,93,14,25.25,3,1
402,131,471,150,96,15,25.5,3,1
405,130,471,150,97,15,25.75,3,1
408,130,472,150,97,15,26,3,1
411,127,472,150,100,16,26.25,3,1
414,125,473,150,100,16,26.5,3,1
417,124,475,150,100,16,26.75,3,1
420,121,476,150,100,16,27,3,1
423,120,476,150,101,16,27.25,3,1
426,119,478,150,103,16,27.5,3,1
429,118,478,150,103,17,27.75,3,1
432,117,478,150,104,17,28,3,1
435,116,478,150,105,17,28.25,3,1
438,115,479,150,106,18,28.5,3,1
441,115,480,150,106,18,28.75,3,1
444,115,480,150,106,20,29,3,1
447,114,480,150,106,20,29.25,3,1
450,114,480,150,106,20,29.5,3,1
453,114,481,150,106,20,29.75,3,1
456,114,481,150,106,20,30,3,1
459,113,481,150,106,20,30.25,3,1
462,112,481,150,106,20,30.5,3,1
465,111,481,150,106,20,30.75,3,1
468,111,482,150,106,20,31,3,1
471,111,482,150,106,20,31.25,3,1
474,111,482,150,106,20,31.5,3,1
477,109,482,150,106,20,31.75,3,1
480,109,482,150,106,21,32,3,1
483,108,482,150,106,21,32.25,3,1
486,107,483,150,106,21,32.5,3,1
489,107,484,150,106,21,32.75,3,1
492,107,484,150,106,23,33,3,1
495,107,484,150,106,23,33.25,3,1
498,107,484,150,106,24,33.5,3,1
501,106,484,150,106,24,33.75,3,1
504,106,484,150,106,24,34,3,1
507,106,486,150,106,25,34.25,3,1
510,106,487,150,106,25,34.5,3,1
513,106,487,150,106,25,34.75,3,1
516,106,487,150,106,25,35,3,1
519,106,487,150,106,25,35.25,3,1
522,106,487,150,106,26,35.5,3,1
525,105,487,150,106,26,35.75,3,1
528,104,487,150,106,27,36,3,1
531,103,487,150,106,27,36.25,3,1
534,100,487,150,106,27,36.5,3,1
537,100,489,150,106,27,36.75,3,1
540,99,489,150,106,27,37,3,1
543,95,490,150,106,29,37.25,3,1
546,93,490,150,106,29,37.5,3,1
