time,necrotic_total,hepatocytes_total,kupffer_total,macrophages_total,senescent_total,real_time,trtmt,run
0,0,600,150,0,0,-8,3,1
3,0,600,150,0,0,-7.75,3,1
6,0,600,150,0,0,-7.5,3,1
9,0,600,150,0,0,-7.25,3,1
12,0,600,150,0,0,-7,3,1
15,0,600,150,0,0,-6.75,3,1
18,0,600,150,0,0,-6.5,3,1
21,0,600,150,0,0,-6.25,3,1
24,0,600,150,0,0,-6,3,1
27,0,600,150,0,0,-5.75,3,1
30,0,600,150,0,0,-5.5,3,1
33,0,600,150,0,0,-5.25,3,1
36,0,600,150,0,0,-5,3,1
39,0,600,150,0,0,-4.75,3,1
42,0,600,150,0,0,-4.5,3,1
45,0,600,150,0,0,-4.25,3,1
48,0,600,150,0,0,-4,3,1
51,0,600,150,0,0,-3.75,3,1
54,0,600,150,0,0,-3.5,3,1
57,0,600,150,0,0,-3.25,3,1
60,0,600,150,0,0,-3,3,1
63,0,600,150,0,0,-2.75,3,1
66,0,600,150,0,0,-2.5,3,1
69,0,600,150,0,0,-2.25,3,1
72,0,600,150,0,0,-2,3,1
75,0,600,150,0,0,-1.75,3,1
78,0,600,150,0,0,-1.5,3,1
81,0,600,150,0,0,-1.25,3,1
84,0,600,150,0,0,-1,3,1
87,0,600,150,0,0,-0.75,3,1
90,0,600,150,0,0,-0.5,3,1
93,0,600,150,0,0,-0.25,3,1
96,0,600,150,0,0,0,3,1
99,0,600,150,0,0,0.25,3,1
102,0,600,150,0,0,0.5,3,1
105,0,600,150,0,0,0.75,3,1
108,0,600,150,0,0,1,3,1
111,0,600,150,0,0,1.25,3,1
114,0,600,150,0,0,1.5,3,1
117,0,600,150,0,0,1.75,3,1
120,0,600,150,0,0,2,3,1
123,0,600,150,0,0,2.25,3,1
126,0,600,150,0,0,2.5,3,1
129,0,600,150,0,0,2.75,3,1
132,0,600,150,0,0,3,3,1
135,0,600,0,0,0,3.25,3,1
138,0,600,0,0,0,3.5,3,1
141,0,600,0,0,0,3.75,3,1
144,0,600,0,0,0,4,3,1
147,0,600,0,0,0,4.25,3,1
150,0,600,0,0,0,4.5,3,1
153,0,600,0,0,0,4.75,3,1
156,0,600,0,0,0,5,3,1
159,0,600,0,0,0,5.25,3,1
162,0,600,0,0,0,5.5,3,1
165,0,600,0,0,0,5.75,3,1
168,0,600,0,0,0,6,3,1
171,0,600,0,0,0,6.25,3,1
174,0,600,0,0,0,6.5,3,1
177,0,600,0,0,0,6.75,3,1
180,0,600,0,0,0,7,3,1
183,0,600,0,0,0,7.25,3,1
186,0,600,0,0,0,7.5,3,1
189,14,586,0,0,0,7.75,3,1
192,23,577,0,0,0,8,3,1
195,37,563,0,0,0,8.25,3,1
198,43,557,0,0,0,8.5,3,1
201,52,548,0,0,0,8.75,3,1
204,59,541,0,0,0,9,3,1
207,66,534,0,0,0,9.25,3,1
210,69,531,0,0,0,9.5,3,1
213,73,527,0,0,0,9.75,3,1
216,80,520,0,0,0,10,3,1
219,87,513,0,0,0,10.25,3,1
222,89,511,0,0,0,10.5,3,1
225,95,505,0,0,0,10.75,3,1
228,97,503,0,0,0,11,3,1
231,100,500,0,0,0,11.25,3,1
234,101,499,0,0,0,11.5,3,1
237,105,495,0,0,0,11.75,3,1
240,111,489,0,0,0,12,3,1
243,114,486,0,0,0,12.25,3,1
246,115,485,0,0,0,12.5,3,1
249,119,481,0,0,0,12.75,3,1
252,125,475,0,0,0,13,3,1
255,128,472,0,0,0,13.25,3,1
258,130,470,0,0,0,13.5,3,1
261,132,468,0,0,1,13.75,3,1
264,134,466,0,0,0,14,3,1
267,135,465,0,0,0,14.25,3,1
270,136,464,0,0,0,14.5,3,1
273,136,464,0,0,1,14.75,3,1
276,137,463,0,0,5,15,3,1
279,137,463,0,0,6,15.25,3,1
282,138,462,0,0,6,15.5,3,1
285,139,461,0,0,7,15.75,3,1
288,139,461,0,0,10,16,3,1
291,140,460,0,0,14,16.25,3,1
294,140,460,0,0,19,16.5,3,1
297,140,460,0,0,23,16.75,3,1
300,140,460,0,0,25,17,3,1
303,140,460,0,0,27,17.25,3,1
306,140,460,0,0,28,17.5,3,1
309,140,460,0,0,32,17.75,3,1
312,140,460,0,0,37,18,3,1
315,140,460,0,0,38,18.25,3,1
318,140,460,0,0,41,18.5,3,1
321,140,460,0,0,44,18.75,3,1
324,140,460,0,0,47,19,3,1
327,140,460,0,0,48,19.25,3,1
330,140,460,0,0,48,19.5,3,1
333,140,460,0,0,49,19.75,3,1
336,140,460,0,0,52,20,3,1
339,140,460,0,0,53,20.25,3,1
342,140,460,0,0,54,20.5,3,1
345,140,460,0,0,55,20.75,3,1
348,140,460,0,0,55,21,3,1
351,140,460,0,0,56,21.25,3,1
354,140,460,0,0,58,21.5,3,1
357,140,460,0,0,58,21.75,3,1
360,140,460,0,0,58,22,3,1
363,140,460,0,0,59,22.25,3,1
366,140,460,0,0,61,22.5,3,1
369,140,460,0,0,61,22.75,3,1
372,140,460,0,0,61,23,3,1
375,140,460,0,0,61,23.25,3,1
378,140,460,0,0,62,23.5,3,1
381,140,460,0,0,62,23.75,3,1
384,140,460,0,0,63,24,3,1
387,140,460,0,0,65,24.25,3,1
390,140,460,0,0,65,24.5,3,1
393,140,460,0,0,65,24.75,3,1
396,140,460,0,0,66,25,3,1
399,140,460,0,0,68,25.25,3,1
402,140,460,0,0,69,25.5,3,1
405,140,460,0,0,69,25.75,3,1
408,140,460,0,0,69,26,3,1
411,140,460,0,0,71,26.25,3,1
414,140,460,0,0,71,26.5,3,1
417,140,460,0,0,72,26.75,3,1
420,140,460,0,0,73,27,3,1
423,140,460,0,0,74,27.25,3,1
426,140,460,0,0,75,27.5,3,1
429,140,460,0,0,75,27.75,3,1
432,140,460,0,0,76,28,3,1
435,140,460,0,0,77,28.25,3,1
438,140,460,0,0,78,28.5,3,1
441,140,460,0,0,78,28.75,3,1
444,140,460,0,0,78,29,3,1
447,140,460,0,0,79,29.25,3,1
450,140,460,0,0,79,29.5,3,1
453,140,460,0,0,79,29.75,3,1
456,140,460,0,0,80,30,3,1
459,140,460,0,0,80,30.25,3,1
462,140,460,0,0,80,30.5,3,1
465,140,460,0,0,80,30.75,3,1
468,140,460,0,0,80,31,3,1
471,140,460,0,0,80,31.25,3,1
474,140,460,0,0,80,31.5,3,1
477,140,460,0,0,80,31.75,3,1
480,140,460,0,0,80,32,3,1
483,140,460,0,0,80,32.25,3,1
486,140,460,0,0,81,32.5,3,1
489,140,460,0,0,81,32.75,3,1
492,140,460,0,0,82,33,3,1
495,140,460,0,0,82,33.25,3,1
498,140,460,0,0,82,33.5,3,1
501,140,460,0,0,83,33.75,3,1
504,140,460,0,0,83,34,3,1
507,140,460,0,0,83,34.25,3,1
510,140,460,0,0,83,34.5,3,1
513,140,460,0,0,83,34.75,3,1
516,140,460,0,0,83,35,3,1
519,140,460,0,0,83,35.25,3,1
522,140,460,0,0,83,35.5,3,1
525,140,460,0,0,83,35.75,3,1
528,140,460,0,0,83,36,3,1
531,140,460,0,0,83,36.25,3,1
534,140,460,0,0,83,36.5,3,1
537,140,460,0,0,83,36.75,3,1
540,140,460,0,0,83,37,3,1
543,140,460,0,0,83,37.25,3,1
546,140,460,0,0,83,37.5,3,1
