time,necrotic_total,hepatocytes_total,kupffer_total,macrophages_total,senescent_total,real_time,factor,run
0,0,600,150,0,0,-8,1e-5,1
3,0,600,150,0,0,-7.75,1e-5,1
6,0,600,150,0,0,-7.5,1e-5,1
9,0,600,150,0,0,-7.25,1e-5,1
12,0,600,150,0,0,-7,1e-5,1
15,0,600,150,0,0,-6.75,1e-5,1
18,0,600,150,0,0,-6.5,1e-5,1
21,0,600,150,0,0,-6.25,1e-5,1
24,0,600,150,0,0,-6,1e-5,1
27,0,600,150,0,0,-5.75,1e-5,1
30,0,600,150,0,0,-5.5,1e-5,1
33,0,600,150,0,0,-5.25,1e-5,1
36,0,600,150,0,0,-5,1e-5,1
39,0,600,150,0,0,-4.75,1e-5,1
42,0,600,150,0,0,-4.5,1e-5,1
45,0,600,150,0,0,-4.25,1e-5,1
48,0,600,150,0,0,-4,1e-5,1
51,0,600,150,0,0,-3.75,1e-5,1
54,0,600,150,0,0,-3.5,1e-5,1
57,0,600,150,0,0,-3.25,1e-5,1
60,0,600,150,0,0,-3,1e-5,1
63,0,600,150,0,0,-2.75,1e-5,1
66,0,600,150,0,0,-2.5,1e-5,1
69,0,600,150,0,0,-2.25,1e-5,1
72,0,600,150,0,0,-2,1e-5,1
75,0,600,150,0,0,-1.75,1e-5,1
78,0,600,150,0,0,-1.5,1e-5,1
81,0,600,150,0,0,-1.25,1e-5,1
84,0,600,150,0,0,-1,1e-5,1
87,0,600,150,0,0,-0.75,1e-5,1
90,0,600,150,0,0,-0.5,1e-5,1
93,0,600,150,0,0,-0.25,1e-5,1
96,0,600,150,0,0,0,1e-5,1
99,0,600,150,0,0,0.25,1e-5,1
102,0,600,150,0,0,0.5,1e-5,1
105,0,600,150,0,0,0.75,1e-5,1
108,0,600,150,0,0,1,1e-5,1
111,0,600,150,0,0,1.25,1e-5,1
114,0,600,150,0,0,1.5,1e-5,1
117,0,600,150,0,0,1.75,1e-5,1
120,0,600,150,0,0,2,1e-5,1
123,0,600,150,0,0,2.25,1e-5,1
126,0,600,150,0,0,2.5,1e-5,1
129,0,600,150,0,0,2.75,1e-5,1
132,0,600,150,0,0,3,1e-5,1
135,0,600,150,0,0,3.25,1e-5,1
138,0,600,150,0,0,3.5,1e-5,1
141,0,600,150,0,0,3.75,1e-5,1
144,0,600,150,0,0,4,1e-5,1
147,0,600,150,0,0,4.25,1e-5,1
150,0,600,150,0,0,4.5,1e-5,1
153,0,600,150,0,0,4.75,1e-5,1
156,0,600,150,0,0,5,1e-5,1
159,0,600,150,0,0,5.25,1e-5,1
162,0,600,150,0,0,5.5,1e-5,1
165,0,600,150,0,0,5.75,1e-5,1
168,0,600,150,0,0,6,1e-5,1
171,0,600,150,0,0,6.25,1e-5,1
174,0,600,150,0,0,6.5,1e-5,1
177,0,600,150,0,0,6.75,1e-5,1
180,0,600,150,0,0,7,1e-5,1
183,0,600,150,0,0,7.25,1e-5,1
186,0,600,150,0,0,7.5,1e-5,1
189,0,600,150,0,0,7.75,1e-5,1
192,0,600,150,0,0,8,1e-5,1
195,0,600,150,0,0,8.25,1e-5,1
198,0,600,150,0,0,8.5,1e-5,1
201,0,600,150,0,0,8.75,1e-5,1
204,0,600,150,0,0,9,1e-5,1
207,1,599,150,0,5,9.25,1e-5,1
210,2,598,150,0,18,9.5,1e-5,1
213,2,598,150,0,30,9.75,1e-5,1
216,2,598,150,0,39,10,1e-5,1
219,2,598,150,0,48,10.25,1e-5,1
222,2,598,150,0,58,10.5,1e-5,1
225,2,598,150,0,62,10.75,1e-5,1
228,2,598,150,0,69,11,1e-5,1
231,3,597,150,0,75,11.25,1e-5,1
234,3,597,150,0,78,11.5,1e-5,1
237,4,596,150,1,86,11.75,1e-5,1
240,6,594,150,1,90,12,1e-5,1
243,6,594,150,2,95,12.25,1e-5,1
246,6,594,150,4,100,12.5,1e-5,1
249,7,593,150,4,104,12.75,1e-5,1
252,7,593,150,6,107,13,1e-5,1
255,9,591,150,9,109,13.25,1e-5,1
258,9,591,150,10,112,13.5,1e-5,1
261,11,589,150,11,111,13.75,1e-5,1
264,11,589,150,13,114,14,1e-5,1
267,11,589,150,15,116,14.25,1e-5,1
270,11,590,150,18,124,14.5,1e-5,1
273,13,588,150,19,128,14.75,1e-5,1
276,13,589,150,21,131,15,1e-5,1
279,14,589,150,22,134,15.25,1e-5,1
282,14,589,150,24,138,15.5,1e-5,1
285,14,590,150,26,143,15.75,1e-5,1
288,15,590,150,28,145,16,1e-5,1
291,15,590,150,31,147,16.25,1e-5,1
294,15,590,150,32,151,16.5,1e-5,1
297,15,590,150,32,153,16.75,1e-5,1
300,15,590,150,33,154,17,1e-5,1
303,15,590,150,34,156,17.25,1e-5,1
306,15,591,150,35,159,17.5,1e-5,1
309,15,592,150,37,160,17.75,1e-5,1
312,16,592,150,39,161,18,1e-5,1
315,17,591,150,41,160,18.25,1e-5,1
318,17,591,150,43,161,18.5,1e-5,1
321,17,591,150,46,162,18.75,1e-5,1
324,17,591,150,46,163,19,1e-5,1
327,19,590,150,46,162,19.25,1e-5,1
330,19,590,150,46,164,19.5,1e-5,1
333,20,589,150,46,163,19.75,1e-5,1
336,22,587,150,46,161,20,1e-5,1
339,22,587,150,46,162,20.25,1e-5,1
342,23,586,150,46,162,20.5,1e-5,1
345,23,586,150,47,163,20.75,1e-5,1
348,24,585,150,49,162,21,1e-5,1
351,24,585,150,49,164,21.25,1e-5,1
354,25,585,150,51,163,21.5,1e-5,1
357,25,586,150,53,163,21.75,1e-5,1
360,25,586,150,54,163,22,1e-5,1
363,25,587,150,55,163,22.25,1e-5,1
366,26,586,150,57,162,22.5,1e-5,1
369,26,586,150,58,162,22.75,1e-5,1
372,26,586,150,60,162,23,1e-5,1
375,26,586,150,61,162,23.25,1e-5,1
378,26,586,150,62,162,23.5,1e-5,1
381,26,587,150,64,162,23.75,1e-5,1
384,27,586,150,66,161,24,1e-5,1
387,27,586,150,67,161,24.25,1e-5,1
390,27,587,150,69,162,24.5,1e-5,1
393,27,588,150,72,162,24.75,1e-5,1
396,27,588,150,74,162,25,1e-5,1
399,27,588,150,74,162,25.25,1e-5,1
402,27,588,150,76,162,25.5,1e-5,1
405,27,588,150,79,162,25.75,1e-5,1
408,27,588,150,79,162,26,1e-5,1
411,27,588,150,82,163,26.25,1e-5,1
