time,necrotic_total,hepatocytes_total,kupffer_total,macrophages_total,senescent_total,real_time,factor,run
0,0,600,150,0,0,-8,0.001,1
3,0,600,150,0,0,-7.75,0.001,1
6,0,600,150,0,0,-7.5,0.001,1
9,0,600,150,0,0,-7.25,0.001,1
12,0,600,150,0,0,-7,0.001,1
15,0,600,150,0,0,-6.75,0.001,1
18,0,600,150,0,0,-6.5,0.001,1
21,0,600,150,0,0,-6.25,0.001,1
24,0,600,150,0,0,-6,0.001,1
27,0,600,150,0,0,-5.75,0.001,1
30,0,600,150,0,0,-5.5,0.001,1
33,0,600,150,0,0,-5.25,0.001,1
36,0,600,150,0,0,-5,0.001,1
39,0,600,150,0,0,-4.75,0.001,1
42,0,600,150,0,0,-4.5,0.001,1
45,0,600,150,0,0,-4.25,0.001,1
48,0,600,150,0,0,-4,0.001,1
51,0,600,150,0,0,-3.75,0.001,1
54,0,600,150,0,0,-3.5,0.001,1
57,0,600,150,0,0,-3.25,0.001,1
60,0,600,150,0,0,-3,0.001,1
63,0,600,150,0,0,-2.75,0.001,1
66,0,600,150,0,0,-2.5,0.001,1
69,0,600,150,0,0,-2.25,0.001,1
72,0,600,150,0,0,-2,0.001,1
75,0,600,150,0,0,-1.75,0.001,1
78,0,600,150,0,0,-1.5,0.001,1
81,0,600,150,0,0,-1.25,0.001,1
84,0,600,150,0,0,-1,0.001,1
87,0,600,150,0,0,-0.75,0.001,1
90,0,600,150,0,0,-0.5,0.001,1
93,0,600,150,0,0,-0.25,0.001,1
96,0,600,150,0,0,0,0.001,1
99,0,600,150,0,0,0.25,0.001,1
102,0,600,150,0,0,0.5,0.001,1
105,0,600,150,0,0,0.75,0.001,1
108,0,600,150,0,0,1,0.001,1
111,0,600,150,0,0,1.25,0.001,1
114,0,600,150,0,0,1.5,0.001,1
117,0,600,150,0,0,1.75,0.001,1
120,0,600,150,0,0,2,0.001,1
123,0,600,150,0,0,2.25,0.001,1
126,0,600,150,0,0,2.5,0.001,1
129,0,600,150,0,0,2.75,0.001,1
132,0,600,150,0,0,3,0.001,1
135,0,600,150,0,0,3.25,0.001,1
138,0,600,150,0,0,3.5,0.001,1
141,0,600,150,0,0,3.75,0.001,1
144,0,600,150,0,0,4,0.001,1
147,0,600,150,0,0,4.25,0.001,1
150,0,600,150,0,0,4.5,0.001,1
153,0,600,150,0,0,4.75,0.001,1
156,0,600,150,0,0,5,0.001,1
159,0,600,150,0,0,5.25,0.001,1
162,0,600,150,0,0,5.5,0.001,1
165,0,600,150,0,0,5.75,0.001,1
168,0,600,150,0,0,6,0.001,1
171,0,600,150,0,0,6.25,0.001,1
174,0,600,150,0,0,6.5,0.001,1
177,0,600,150,0,0,6.75,0.001,1
180,0,600,150,0,0,7,0.001,1
183,0,600,150,0,0,7.25,0.001,1
186,0,600,150,0,0,7.5,0.001,1
189,17,583,150,0,0,7.75,0.001,1
192,30,570,150,0,0,8,0.001,1
195,39,561,150,0,0,8.25,0.001,1
198,46,554,150,0,0,8.5,0.001,1
201,55,545,150,0,0,8.75,0.001,1
204,61,539,150,0,0,9,0.001,1
207,66,534,150,1,0,9.25,0.001,1
210,74,526,150,1,0,9.5,0.001,1
213,77,523,150,1,0,9.75,0.001,1
216,81,519,150,3,0,10,0.001,1
219,86,514,150,5,0,10.25,0.001,1
222,91,509,150,5,0,10.5,0.001,1
225,95,505,150,6,0,10.75,0.001,1
228,102,498,150,7,0,11,0.001,1
231,103,497,150,9,0,11.25,0.001,1
234,105,495,150,10,0,11.5,0.001,1
237,108,492,150,12,0,11.75,0.001,1
240,111,489,150,14,0,12,0.001,1
243,118,482,150,15,0,12.25,0.001,1
246,120,480,150,16,0,12.5,0.001,1
249,124,476,150,16,0,12.75,0.001,1
252,125,476,150,17,0,13,0.001,1
255,126,475,150,18,0,13.25,0.001,1
258,131,470,150,18,0,13.5,0.001,1
261,134,467,150,19,0,13.75,0.001,1
264,135,466,150,21,0,14,0.001,1
267,137,464,150,22,0,14.25,0.001,1
270,139,462,150,23,0,14.5,0.001,1
273,140,461,150,25,0,14.75,0.001,1
276,140,461,150,27,3,15,0.001,1
279,142,459,150,28,3,15.25,0.001,1
282,143,458,150,29,3,15.5,0.001,1
285,145,456,150,31,2,15.75,0.001,1
288,145,457,150,33,4,16,0.001,1
291,145,457,150,34,6,16.25,0.001,1
294,145,457,150,35,6,16.5,0.001,1
297,146,456,150,36,5,16.75,0.001,1
300,146,457,150,37,8,17,0.001,1
303,146,457,150,37,9,17.25,0.001,1
306,146,457,150,37,9,17.5,0.001,1
309,146,457,150,40,10,17.75,0.001,1
312,146,457,150,41,10,18,0.001,1
315,146,457,150,43,14,18.25,0.001,1
318,146,457,150,44,18,18.5,0.001,1
321,146,457,150,45,19,18.75,0.001,1
324,146,458,150,46,19,19,0.001,1
327,146,458,150,47,22,19.25,0.001,1
330,146,459,150,47,23,19.5,0.001,1
333,146,459,150,50,23,19.75,0.001,1
336,146,459,150,52,25,20,0.001,1
339,146,459,150,54,26,20.25,0.001,1
342,146,459,150,55,26,20.5,0.001,1
345,146,459,150,57,28,20.75,0.001,1
348,146,459,150,58,28,21,0.001,1
351,146,459,150,58,30,21.25,0.001,1
354,146,459,150,61,31,21.5,0.001,1
357,146,459,150,63,31,21.75,0.001,1
360,146,459,150,64,31,22,0.001,1
363,146,460,150,65,32,22.25,0.001,1
366,146,460,150,65,32,22.5,0.001,1
369,146,460,150,66,32,22.75,0.001,1
372,146,460,150,69,32,23,0.001,1
375,146,460,150,70,33,23.25,0.001,1
378,146,461,150,71,33,23.5,0.001,1
381,146,461,150,72,33,23.75,0.001,1
384,146,461,150,74,33,24,0.001,1
387,144,461,150,75,33,24.25,0.001,1
390,143,461,150,77,33,24.5,0.001,1
393,142,462,150,79,33,24.75,0.001,1
396,142,462,150,80,33,25,0.001,1
399,141,462,150,82,34,25.25,0.001,1
402,138,462,150,83,34,25.5,0.001,1
405,138,462,150,83,34,25.75,0.001,1
408,137,463,150,84,34,26,0.001,1
411,136,463,150,86,34,26.25,0.001,1
414,136,464,150,88,35,26.5,0.001,1
417,135,464,150,91,36,26.75,0.001,1
420,135,465,150,92,36,27,0.001,1
423,134,465,150,93,36,27.25,0.001,1
426,133,466,150,93,36,27.5,0.001,1
429,132,466,150,96,36,27.75,0.001,1
432,131,466,150,99,36,28,0.001,1
435,129,466,150,100,36,28.25,0.001,1
438,128,466,150,100,36,28.5,0.001,1
441,125,467,150,102,36,28.75,0.001,1
444,123,467,150,104,37,29,0.001,1
447,123,468,150,104,37,29.25,0.001,1
450,121,469,150,106,37,29.5,0.001,1
453,121,469,150,108,37,29.75,0.001,1
456,120,470,150,110,39,30,0.001,1
459,119,471,150,111,39,30.25,0.001,1
462,118,471,150,113,39,30.5,0.001,1
465,117,472,150,114,39,30.75,0.001,1
468,117,473,150,116,39,31,0.001,1
471,116,473,150,119,39,31.25,0.001,1
474,116,473,150,119,39,31.5,0.001,1
477,116,473,150,119,39,31.75,0.001,1
480,114,473,150,119,39,32,0.001,1
483,112,475,150,119,39,32.25,0.001,1
486,112,475,150,119,39,32.5,0.001,1
489,112,475,150,119,40,32.75,0.001,1
492,111,475,150,119,40,33,0.001,1
495,111,476,150,119,40,33.25,0.001,1
498,110,476,150,120,41,33.5,0.001,1
501,110,477,150,122,41,33.75,0.001,1
504,109,479,150,125,42,34,0.001,1
507,109,480,150,126,42,34.25,0.001,1
510,109,481,150,126,42,34.5,0.001,1
513,108,482,150,126,42,34.75,0.001,1
516,107,482,150,126,42,35,0.001,1
519,107,482,150,128,43,35.25,0.001,1
522,106,482,150,129,43,35.5,0.001,1
525,105,482,150,130,45,35.75,0.001,1
528,105,482,150,132,45,36,0.001,1
531,105,482,150,134,45,36.25,0.001,1
534,105,482,150,136,45,36.5,0.001,1
537,104,482,150,138,45,36.75,0.001,1
540,102,483,150,138,45,37,0.001,1
543,100,483,150,138,45,37.25,0.001,1
546,98,483,150,138,45,37.5,0.001,1
549,98,484,150,138,45,37.75,0.001,1
552,97,484,150,138,46,38,0.001,1
555,96,486,150,138,47,38.25,0.001,1
558,96,486,150,138,47,38.5,0.001,1
561,94,487,150,139,48,38.75,0.001,1
564,93,487,150,140,49,39,0.001,1
567,92,487,150,141,49,39.25,0.001,1
570,92,487,150,142,49,39.5,0.001,1
573,91,487,150,142,49,39.75,0.001,1
576,89,488,150,143,49,40,0.001,1
579,87,489,150,144,49,40.25,0.001,1
582,86,489,150,145,49,40.5,0.001,1
585,86,490,150,145,49,40.75,0.001,1
588,83,490,150,147,51,41,0.001,1
591,80,490,150,148,52,41.25,0.001,1
594,78,490,150,150,52,41.5,0.001,1
597,77,490,150,151,52,41.75,0.001,1
600,77,492,150,153,52,42,0.001,1
603,76,493,150,155,53,42.25,0.001,1
606,76,493,150,157,53,42.5,0.001,1
609,76,494,150,158,53,42.75,0.001,1
612,73,494,150,159,53,43,0.001,1
615,73,494,150,161,53,43.25,0.001,1
618,73,494,150,161,53,43.5,0.001,1
621,71,494,150,163,53,43.75,0.001,1
624,71,494,150,164,53,44,0.001,1
627,70,495,150,164,53,44.25,0.001,1
630,69,495,150,164,53,44.5,0.001,1
633,66,495,150,164,53,44.75,0.001,1
636,66,495,150,164,53,45,0.001,1
639,66,495,150,164,53,45.25,0.001,1
642,66,495,150,164,53,45.5,0.001,1
645,66,495,150,165,53,45.75,0.001,1
648,63,496,150,166,54,46,0.001,1
651,63,496,150,167,54,46.25,0.001,1
654,62,496,150,167,54,46.5,0.001,1
657,61,496,150,167,54,46.75,0.001,1
660,61,496,150,169,54,47,0.001,1
663,59,498,150,170,54,47.25,0.001,1
666,58,498,150,171,54,47.5,0.001,1
669,58,498,150,171,54,47.75,0.001,1
672,58,499,150,172,54,48,0.001,1
675,58,501,150,173,54,48.25,0.001,1
678,58,501,150,174,54,48.5,0.001,1
681,58,501,150,177,54,48.75,0.001,1
684,58,503,150,179,54,49,0.001,1
687,58,503,150,179,55,49.25,0.001,1
690,56,503,150,180,56,49.5,0.001,1
693,53,503,150,181,56,49.75,0.001,1
696,50,504,150,182,56,50,0.001,1
699,47,504,150,184,56,50.25,0.001,1
702,47,506,150,185,56,50.5,0.001,1
705,47,508,150,188,58,50.75,0.001,1
708,47,508,150,190,58,51,0.001,1
711,46,508,150,192,60,51.25,0.001,1
714,43,510,150,195,60,51.5,0.001,1
717,43,512,150,197,60,51.75,0.001,1
720,43,513,150,198,60,52,0.001,1
723,42,514,150,201,60,52.25,0.001,1
726,42,515,150,203,61,52.5,0.001,1
729,42,516,150,206,61,52.75,0.001,1
732,40,520,150,207,62,53,0.001,1
735,40,520,150,208,62,53.25,0.001,1
738,40,520,150,208,62,53.5,0.001,1
741,40,521,150,210,62,53.75,0.001,1
744,38,522,150,210,62,54,0.001,1
747,38,522,150,210,62,54.25,0.001,1
750,37,522,150,210,63,54.5,0.001,1
753,37,523,150,210,63,54.75,0.001,1
756,37,523,150,210,65,55,0.001,1
759,37,526,150,210,65,55.25,0.001,1
762,37,527,150,210,65,55.5,0.001,1
765,36,528,150,210,65,55.75,0.001,1
768,36,528,150,210,65,56,0.001,1
771,36,528,150,210,65,56.25,0.001,1
774,36,530,150,210,65,56.5,0.001,1
777,35,531,150,210,65,56.75,0.001,1
780,35,532,150,213,65,57,0.001,1
783,34,532,150,214,65,57.25,0.001,1
786,34,533,150,214,65,57.5,0.001,1
789,34,534,150,214,65,57.75,0.001,1
792,32,535,150,216,65,58,0.001,1
795,32,535,150,218,65,58.25,0.001,1
798,31,536,150,219,65,58.5,0.001,1
801,28,536,150,219,65,58.75,0.001,1
804,28,537,150,220,65,59,0.001,1
807,28,538,150,221,65,59.25,0.001,1
810,26,539,150,221,65,59.5,0.001,1
813,26,540,150,221,65,59.75,0.001,1
816,26,540,150,221,65,60,0.001,1
819,25,541,150,221,65,60.25,0.001,1
822,24,541,150,223,65,60.5,0.001,1
825,24,541,150,225,65,60.75,0.001,1
828,24,543,150,227,65,61,0.001,1
831,22,543,150,229,65,61.25,0.001,1
834,22,544,150,230,65,61.5,0.001,1
837,22,547,150,231,65,61.75,0.001,1
840,21,549,150,231,65,62,0.001,1
843,21,551,150,231,65,62.25,0.001,1
846,20,551,150,231,65,62.5,0.001,1
849,16,552,150,231,65,62.75,0.001,1
852,16,555,150,231,65,63,0.001,1
855,16,556,150,231,65,63.25,0.001,1
858,16,557,150,231,65,63.5,0.001,1
861,16,558,150,231,65,63.75,0.001,1
864,15,559,150,231,65,64,0.001,1
867,13,560,150,232,66,64.25,0.001,1
870,12,561,150,232,66,64.5,0.001,1
873,12,561,150,234,67,64.75,0.001,1
876,12,562,150,234,68,65,0.001,1
879,12,563,150,234,68,65.25,0.001,1
882,11,564,150,234,68,65.5,0.001,1
885,9,565,150,234,68,65.75,0.001,1
888,9,566,150,234,68,66,0.001,1
891,9,567,150,235,68,66.25,0.001,1
894,8,568,150,235,68,66.5,0.001,1
